attachment_id,old_filename,expected_filename,expected_upload_path,expected_extension,extension_case_ok,expected_mime,expected_width,expected_height,source_binary_found,prepared_binary_found,actual_mime,actual_width,actual_height,metadata_stripped,sha256,audit_result,notes
17,22d688903186d76070a16bfae68d96e22e496089.jpg,concrete-project-detail-camden-17.jpg,/wp-content/uploads/2026/07/concrete-project-detail-camden-17.jpg,.jpg,yes,image/jpeg,1440,1120,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
18,371487147fc7f2da19984667e588262ce5db8f35.jpg,concrete-project-detail-camden-18.jpg,/wp-content/uploads/2026/07/concrete-project-detail-camden-18.jpg,.jpg,yes,image/jpeg,1440,960,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
19,68feeabbfa09c5bf3b7f0adf662d0139c330665a.jpg,concrete-project-detail-camden-19.jpg,/wp-content/uploads/2026/07/concrete-project-detail-camden-19.jpg,.jpg,yes,image/jpeg,1440,960,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
46,concrete-tesimonial-4.webp,concrete-tesimonial-4-camden-46.webp,/wp-content/uploads/2026/07/concrete-tesimonial-4-camden-46.webp,.webp,yes,image/webp,837,622,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
47,concrtee-testimonial-6.webp,concrete-testimonial-6-camden-47.webp,/wp-content/uploads/2026/07/concrete-testimonial-6-camden-47.webp,.webp,yes,image/webp,1125,829,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
48,concrete-testimonial-3.webp,concrete-testimonial-3-camden-48.webp,/wp-content/uploads/2026/07/concrete-testimonial-3-camden-48.webp,.webp,yes,image/webp,1360,766,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
49,concrete-testimonial-1.webp,concrete-testimonial-1-camden-49.webp,/wp-content/uploads/2026/07/concrete-testimonial-1-camden-49.webp,.webp,yes,image/webp,1360,765,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
50,exposed-aggregate-concrete.jpg,exposed-aggregate-concrete-camden-50.jpg,/wp-content/uploads/2026/07/exposed-aggregate-concrete-camden-50.jpg,.jpg,yes,image/jpeg,2048,2048,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
51,concrete-testimonial-2.webp,concrete-testimonial-2-camden-51.webp,/wp-content/uploads/2026/07/concrete-testimonial-2-camden-51.webp,.webp,yes,image/webp,765,1020,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
52,concrete-testimonial-1-1.webp,concrete-testimonial-1-1-camden-52.webp,/wp-content/uploads/2026/07/concrete-testimonial-1-1-camden-52.webp,.webp,yes,image/webp,1360,765,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
53,patiosandpathways.webp,patiosandpathways-camden-53.webp,/wp-content/uploads/2026/07/patiosandpathways-camden-53.webp,.webp,yes,image/webp,765,1020,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
54,colourdanddetailedconcrete.jpg,coloured-detailed-concrete-camden-54.jpg,/wp-content/uploads/2026/07/coloured-detailed-concrete-camden-54.jpg,.jpg,yes,image/jpeg,662,463,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
55,patiosconcrete.jpg,patiosconcrete-camden-55.jpg,/wp-content/uploads/2026/07/patiosconcrete-camden-55.jpg,.jpg,yes,image/jpeg,1300,867,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
121,reinforcedheavydutycocnreer.webp,reinforcedheavydutyconcrete-camden-121.webp,/wp-content/uploads/2026/07/reinforcedheavydutyconcrete-camden-121.webp,.webp,yes,image/webp,765,1020,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
144,pathsandpathwasyconcrete.jpg,paths-and-pathwaysconcrete-camden-144.jpg,/wp-content/uploads/2026/07/paths-and-pathwaysconcrete-camden-144.jpg,.jpg,yes,image/jpeg,400,533,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
145,patiosandalfrescoconcrete.jpg,patiosandalfrescoconcrete-camden-145.jpg,/wp-content/uploads/2026/07/patiosandalfrescoconcrete-camden-145.jpg,.jpg,yes,image/jpeg,399,501,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
146,concretepoolsurronds.jpg,concretepoolsurronds-camden-146.jpg,/wp-content/uploads/2026/07/concretepoolsurronds-camden-146.jpg,.jpg,yes,image/jpeg,2560,1920,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
