URL,Page type,Current WordPress status,Current robots setting,Placeholder count,Photo marker count,Verification marker count,Phone verified,Form dependency,Business-evidence dependency,Index-ready,Exact missing evidence,Recommended action
/concreters-oran-park/,suburb,publish,"global staging: noindex,nofollow,noarchive; page: noindex,follow",1,3,1,no — number present,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,"verified legal/operating identity for CoreX Concreters Camden; ownership and call-routing proof for 03 4517 6915; confirm whether the Oran Park estate design guidelines require the driveway to be complete before the Occupation Certificate is issued — check the current Oran Park Estate Design Guidelines before publishing this claim.; verified project photograph, location/service/date record and permission to publish; insert your real per-m² ranges once you've quoted 5+ Camden jobs; authoritative media/Astra import and logged-out visual QA","Keep protected and noindex; resolve every listed item, then repeat staging QA before approval."
/concreters-leppington/,suburb,publish,"global staging: noindex,nofollow,noarchive; page: noindex,follow",0,3,0,no — number present,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,verified legal/operating identity for CoreX Concreters Camden; ownership and call-routing proof for 03 4517 6915; verified CoreX project in Leppington; authoritative media/Astra import and logged-out visual QA,"Keep protected and noindex; resolve every listed item, then repeat staging QA before approval."
/concreters-gregory-hills/,suburb,publish,"global staging: noindex,nofollow,noarchive; page: noindex,follow",0,3,0,no — number present,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,verified legal/operating identity for CoreX Concreters Camden; ownership and call-routing proof for 03 4517 6915; verified CoreX project in Gregory Hills; authoritative media/Astra import and logged-out visual QA,"Keep protected and noindex; resolve every listed item, then repeat staging QA before approval."
/concreters-gledswood-hills/,suburb,publish,"global staging: noindex,nofollow,noarchive; page: noindex,follow",0,3,0,no — number present,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,verified legal/operating identity for CoreX Concreters Camden; ownership and call-routing proof for 03 4517 6915; verified CoreX project in Gledswood Hills; authoritative media/Astra import and logged-out visual QA,"Keep protected and noindex; resolve every listed item, then repeat staging QA before approval."
/concreters-austral/,suburb,publish,"global staging: noindex,nofollow,noarchive; page: noindex,follow",0,3,0,no — number present,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,verified legal/operating identity for CoreX Concreters Camden; ownership and call-routing proof for 03 4517 6915; verified CoreX project in Austral; authoritative media/Astra import and logged-out visual QA,"Keep protected and noindex; resolve every listed item, then repeat staging QA before approval."
/concreters-harrington-park/,suburb,publish,"global staging: noindex,nofollow,noarchive; page: noindex,follow",0,3,0,no — number present,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,verified legal/operating identity for CoreX Concreters Camden; ownership and call-routing proof for 03 4517 6915; verified CoreX project in Harrington Park; authoritative media/Astra import and logged-out visual QA,"Keep protected and noindex; resolve every listed item, then repeat staging QA before approval."
/,home,publish,"global staging: noindex,nofollow,noarchive; page: default (no page override)",6,0,0,no — number present,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,verified legal/operating identity for CoreX Concreters Camden; ownership and call-routing proof for 03 4517 6915; verified CoreX review text and permission to publish; verified reviewer name; authoritative media/Astra import and logged-out visual QA,"Keep protected and noindex; resolve every listed item, then repeat staging QA before approval."
/contact/,utility,publish,"global staging: noindex,nofollow,noarchive; page: default (no page override)",2,0,0,no — number present,Fluent Forms ID 3 + verified recipient/privacy/SMTP,yes — legal/operating identity; plus any listed page-specific evidence,no,"verified legal/operating identity for CoreX Concreters Camden; ownership and call-routing proof for 03 4517 6915; approved Fluent Forms form 3, recipient email, privacy basis, SMTP and delivery test; verified CoreX ABN; verified CoreX business address; authoritative media/Astra import and logged-out visual QA","Keep protected and noindex; resolve every listed item, then repeat staging QA before approval."
/quote/,utility,publish,"global staging: noindex,nofollow,noarchive; page: default (no page override)",4,0,0,no — global contact presentation unverified,Fluent Forms ID 3 + verified recipient/privacy/SMTP,yes — legal/operating identity; plus any listed page-specific evidence,no,"verified legal/operating identity for CoreX Concreters Camden; verified global header/footer phone after Astra settings are supplied; approved Fluent Forms form 3, recipient email, privacy basis, SMTP and delivery test; operator-approved quote turnaround and inclusions; verified CoreX ABN; verified CoreX business address; authoritative media/Astra import and logged-out visual QA","Keep protected and noindex; resolve every listed item, then repeat staging QA before approval."
/about/,utility,publish,"global staging: noindex,nofollow,noarchive; page: default (no page override)",4,0,0,no — global contact presentation unverified,Fluent Forms ID 3 + verified recipient/privacy/SMTP,yes — legal/operating identity; plus any listed page-specific evidence,no,"verified legal/operating identity for CoreX Concreters Camden; verified global header/footer phone after Astra settings are supplied; approved Fluent Forms form 3, recipient email, privacy basis, SMTP and delivery test; verified licence, insurance and operator profile; verified CoreX ABN; verified CoreX business address; authoritative media/Astra import and logged-out visual QA","Keep protected and noindex; resolve every listed item, then repeat staging QA before approval."
/gallery/,utility,publish,"global staging: noindex,nofollow,noarchive; page: noindex,follow",2,2,0,no — global contact presentation unverified,Fluent Forms ID 3 + verified recipient/privacy/SMTP,yes — legal/operating identity; plus any listed page-specific evidence,no,"verified legal/operating identity for CoreX Concreters Camden; verified global header/footer phone after Astra settings are supplied; approved Fluent Forms form 3, recipient email, privacy basis, SMTP and delivery test; project image, suburb, service, completion date and permission to publish; verified CoreX ABN; verified CoreX business address; authoritative media/Astra import and logged-out visual QA","Keep protected and noindex; resolve every listed item, then repeat staging QA before approval."
/concrete-driveways-south-west-sydney/,service,publish,"global staging: noindex,nofollow,noarchive; page: default (no page override)",1,0,0,no — number present,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,"verified legal/operating identity for CoreX Concreters Camden; ownership and call-routing proof for 03 4517 6915; operator-approved concrete driveways range from real CoreX quotes, including the assumptions behind it; authoritative media/Astra import and logged-out visual QA","Keep protected and noindex; resolve every listed item, then repeat staging QA before approval."
/concrete-driveway-replacement-south-west-sydney/,service,publish,"global staging: noindex,nofollow,noarchive; page: default (no page override)",1,0,0,no — number present,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,"verified legal/operating identity for CoreX Concreters Camden; ownership and call-routing proof for 03 4517 6915; operator-approved concrete driveway replacement range from real CoreX quotes, including the assumptions behind it; authoritative media/Astra import and logged-out visual QA","Keep protected and noindex; resolve every listed item, then repeat staging QA before approval."
/concrete-slabs-south-west-sydney/,service,publish,"global staging: noindex,nofollow,noarchive; page: default (no page override)",1,0,0,no — global contact presentation unverified,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,"verified legal/operating identity for CoreX Concreters Camden; verified global header/footer phone after Astra settings are supplied; operator-approved concrete slabs range from real CoreX quotes, including the assumptions behind it; authoritative media/Astra import and logged-out visual QA","Keep protected and noindex; resolve every listed item, then repeat staging QA before approval."
/shed-and-garage-slabs-south-west-sydney/,service,publish,"global staging: noindex,nofollow,noarchive; page: default (no page override)",1,0,0,no — global contact presentation unverified,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,"verified legal/operating identity for CoreX Concreters Camden; verified global header/footer phone after Astra settings are supplied; operator-approved shed and garage slabs range from real CoreX quotes, including the assumptions behind it; authoritative media/Astra import and logged-out visual QA","Keep protected and noindex; resolve every listed item, then repeat staging QA before approval."
/exposed-aggregate-south-west-sydney/,service,publish,"global staging: noindex,nofollow,noarchive; page: default (no page override)",1,0,0,no — global contact presentation unverified,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,"verified legal/operating identity for CoreX Concreters Camden; verified global header/footer phone after Astra settings are supplied; operator-approved exposed aggregate concrete range from real CoreX quotes, including the assumptions behind it; authoritative media/Astra import and logged-out visual QA","Keep protected and noindex; resolve every listed item, then repeat staging QA before approval."
/decorative-concrete-south-west-sydney/,service,publish,"global staging: noindex,nofollow,noarchive; page: default (no page override)",1,0,0,no — global contact presentation unverified,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,"verified legal/operating identity for CoreX Concreters Camden; verified global header/footer phone after Astra settings are supplied; operator-approved decorative concrete range from real CoreX quotes, including the assumptions behind it; authoritative media/Astra import and logged-out visual QA","Keep protected and noindex; resolve every listed item, then repeat staging QA before approval."
/concrete-patios-south-west-sydney/,service,publish,"global staging: noindex,nofollow,noarchive; page: default (no page override)",3,0,0,no — number present,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,"verified legal/operating identity for CoreX Concreters Camden; ownership and call-routing proof for 03 4517 6915; operator-approved concrete patios and alfresco slabs range from real CoreX quotes, including the assumptions behind it; verified CoreX ABN; verified CoreX business address; authoritative media/Astra import and logged-out visual QA","Keep protected and noindex; resolve every listed item, then repeat staging QA before approval."
/concrete-paths-south-west-sydney/,service,publish,"global staging: noindex,nofollow,noarchive; page: default (no page override)",3,0,0,no — number present,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,"verified legal/operating identity for CoreX Concreters Camden; ownership and call-routing proof for 03 4517 6915; operator-approved concrete paths and pathways range from real CoreX quotes, including the assumptions behind it; verified CoreX ABN; verified CoreX business address; authoritative media/Astra import and logged-out visual QA","Keep protected and noindex; resolve every listed item, then repeat staging QA before approval."
/concrete-crossovers-and-laybacks-south-west-sydney/,service,publish,"global staging: noindex,nofollow,noarchive; page: default (no page override)",3,0,0,no — global contact presentation unverified,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,"verified legal/operating identity for CoreX Concreters Camden; verified global header/footer phone after Astra settings are supplied; operator-approved concrete crossovers and laybacks range from real CoreX quotes, including the assumptions behind it; verified CoreX ABN; verified CoreX business address; authoritative media/Astra import and logged-out visual QA","Keep protected and noindex; resolve every listed item, then repeat staging QA before approval."
/commercial-concreting-south-west-sydney/,service,publish,"global staging: noindex,nofollow,noarchive; page: default (no page override)",1,0,0,no — global contact presentation unverified,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,"verified legal/operating identity for CoreX Concreters Camden; verified global header/footer phone after Astra settings are supplied; operator-approved commercial concreting range from real CoreX quotes, including the assumptions behind it; authoritative media/Astra import and logged-out visual QA","Keep protected and noindex; resolve every listed item, then repeat staging QA before approval."
/guides/,guide_hub,draft,"global staging: noindex,nofollow,noarchive; page: noindex,follow",0,0,0,no — number present,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,verified legal/operating identity for CoreX Concreters Camden; ownership and call-routing proof for 03 4517 6915; page-specific publication-wave approval; authoritative media/Astra import and logged-out visual QA,"Keep draft; resolve page evidence and wave gate, then stage and QA before any status change."
/guides/broom-finish-concrete/,guide,draft,"global staging: noindex,nofollow,noarchive; page: noindex,follow",0,0,0,no — number present,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,verified legal/operating identity for CoreX Concreters Camden; ownership and call-routing proof for 03 4517 6915; page-specific publication-wave approval; authoritative media/Astra import and logged-out visual QA,"Keep draft; resolve page evidence and wave gate, then stage and QA before any status change."
/guides/camden-council-driveway-crossing/,guide,draft,"global staging: noindex,nofollow,noarchive; page: noindex,follow",2,0,1,no — global contact presentation unverified,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,verified legal/operating identity for CoreX Concreters Camden; verified global header/footer phone after Astra settings are supplied; any unresearched figure or process stated under Camden Council Driveway Crossing before publication; verified CoreX ABN; verified CoreX business address; page-specific publication-wave approval; authoritative media/Astra import and logged-out visual QA,"Keep draft; resolve page evidence and wave gate, then stage and QA before any status change."
/guides/campbelltown-council-driveway-crossing/,guide,draft,"global staging: noindex,nofollow,noarchive; page: noindex,follow",0,0,1,no — number present,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,"verified legal/operating identity for CoreX Concreters Camden; ownership and call-routing proof for 03 4517 6915; current Campbelltown City Council vehicle-crossing specification, application, fees, inspections, widths and grades before this guide is published; page-specific publication-wave approval; authoritative media/Astra import and logged-out visual QA","Keep draft; resolve page evidence and wave gate, then stage and QA before any status change."
/guides/coloured-concrete-explained/,guide,draft,"global staging: noindex,nofollow,noarchive; page: noindex,follow",0,0,0,no — number present,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,verified legal/operating identity for CoreX Concreters Camden; ownership and call-routing proof for 03 4517 6915; page-specific publication-wave approval; authoritative media/Astra import and logged-out visual QA,"Keep draft; resolve page evidence and wave gate, then stage and QA before any status change."
/guides/commercial-hardstand-cost/,guide,draft,"global staging: noindex,nofollow,noarchive; page: noindex,follow",0,0,0,no — number present,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,verified legal/operating identity for CoreX Concreters Camden; ownership and call-routing proof for 03 4517 6915; page-specific publication-wave approval; authoritative media/Astra import and logged-out visual QA,"Keep draft; resolve page evidence and wave gate, then stage and QA before any status change."
/guides/concrete-crack-types-and-which-matter/,guide,draft,"global staging: noindex,nofollow,noarchive; page: noindex,follow",0,0,0,no — number present,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,verified legal/operating identity for CoreX Concreters Camden; ownership and call-routing proof for 03 4517 6915; page-specific publication-wave approval; authoritative media/Astra import and logged-out visual QA,"Keep draft; resolve page evidence and wave gate, then stage and QA before any status change."
/guides/concrete-driveway-cost-nsw/,guide,draft,"global staging: noindex,nofollow,noarchive; page: noindex,follow",3,0,0,no — global contact presentation unverified,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,verified legal/operating identity for CoreX Concreters Camden; verified global header/footer phone after Astra settings are supplied; operator-approved amount or range from real CoreX quotes relevant to Concrete Driveway Cost NSW; verified CoreX ABN; verified CoreX business address; page-specific publication-wave approval; authoritative media/Astra import and logged-out visual QA,"Keep draft; resolve page evidence and wave gate, then stage and QA before any status change."
/guides/concrete-efflorescence/,guide,draft,"global staging: noindex,nofollow,noarchive; page: noindex,follow",0,0,0,no — number present,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,verified legal/operating identity for CoreX Concreters Camden; ownership and call-routing proof for 03 4517 6915; page-specific publication-wave approval; authoritative media/Astra import and logged-out visual QA,"Keep draft; resolve page evidence and wave gate, then stage and QA before any status change."
/guides/concrete-repair-vs-replace/,guide,draft,"global staging: noindex,nofollow,noarchive; page: noindex,follow",0,0,0,no — number present,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,verified legal/operating identity for CoreX Concreters Camden; ownership and call-routing proof for 03 4517 6915; page-specific publication-wave approval; authoritative media/Astra import and logged-out visual QA,"Keep draft; resolve page evidence and wave gate, then stage and QA before any status change."
/guides/concrete-slab-cost-per-m2/,guide,draft,"global staging: noindex,nofollow,noarchive; page: noindex,follow",0,0,0,no — number present,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,verified legal/operating identity for CoreX Concreters Camden; ownership and call-routing proof for 03 4517 6915; page-specific publication-wave approval; authoritative media/Astra import and logged-out visual QA,"Keep draft; resolve page evidence and wave gate, then stage and QA before any status change."
