URL,Page type,WXR status,Expected logged-out HTTP,actual_http_status,final_url,x_robots_tag,robots_meta,rendered_title,visible_marker,Expected WXR title,QA decision,Notes
/concreters-oran-park/,suburb,publish,200,404,http://127.0.0.1:8088/concreters-oran-park/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Concreters Oran Park,BLOCKED,Authoritative import was rolled back; this is not the expected Camden page.
/concreters-leppington/,suburb,publish,200,404,http://127.0.0.1:8088/concreters-leppington/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Concreters Leppington,BLOCKED,Authoritative import was rolled back; this is not the expected Camden page.
/concreters-gregory-hills/,suburb,publish,200,404,http://127.0.0.1:8088/concreters-gregory-hills/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Concreters Gregory Hills,BLOCKED,Authoritative import was rolled back; this is not the expected Camden page.
/concreters-gledswood-hills/,suburb,publish,200,404,http://127.0.0.1:8088/concreters-gledswood-hills/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Concreters Gledswood Hills,BLOCKED,Authoritative import was rolled back; this is not the expected Camden page.
/concreters-austral/,suburb,publish,200,404,http://127.0.0.1:8088/concreters-austral/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Concreters Austral,BLOCKED,Authoritative import was rolled back; this is not the expected Camden page.
/concreters-harrington-park/,suburb,publish,200,404,http://127.0.0.1:8088/concreters-harrington-park/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Concreters Harrington Park,BLOCKED,Authoritative import was rolled back; this is not the expected Camden page.
/,home,publish,200,200,http://127.0.0.1:8088/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Camden Concreting Local Smoke Test,no,Concreters Camden,BLOCKED,Authoritative import was rolled back; this is not the expected Camden page.
/contact/,utility,publish,200,404,http://127.0.0.1:8088/contact/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Contact CoreX Concreters Camden,BLOCKED,Authoritative import was rolled back; this is not the expected Camden page.
/quote/,utility,publish,200,404,http://127.0.0.1:8088/quote/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Request a Concrete Quote,BLOCKED,Authoritative import was rolled back; this is not the expected Camden page.
/about/,utility,publish,200,404,http://127.0.0.1:8088/about/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,About CoreX Concreters Camden,BLOCKED,Authoritative import was rolled back; this is not the expected Camden page.
/gallery/,utility,publish,200,404,http://127.0.0.1:8088/gallery/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Camden Concrete Project Gallery,BLOCKED,Authoritative import was rolled back; this is not the expected Camden page.
/concrete-driveways-south-west-sydney/,service,publish,200,404,http://127.0.0.1:8088/concrete-driveways-south-west-sydney/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Concrete Driveways South West Sydney,BLOCKED,Authoritative import was rolled back; this is not the expected Camden page.
/concrete-driveway-replacement-south-west-sydney/,service,publish,200,404,http://127.0.0.1:8088/concrete-driveway-replacement-south-west-sydney/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Concrete Driveway Replacement South West Sydney,BLOCKED,Authoritative import was rolled back; this is not the expected Camden page.
/concrete-slabs-south-west-sydney/,service,publish,200,404,http://127.0.0.1:8088/concrete-slabs-south-west-sydney/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Concrete Slabs South West Sydney,BLOCKED,Authoritative import was rolled back; this is not the expected Camden page.
