attachment_id,old_filename,new_filename,status,matched_file,bytes,sha256,mime,width,height,ext_matches_new,page_count,detail
17,22d688903186d76070a16bfae68d96e22e496089.jpg,concrete-project-detail-camden-17.jpg,PRESENT-EXACT,22d688903186d76070a16bfae68d96e22e496089.jpg,215840,705C49966F4E70D59C13F947F5B8A4B32286F0AF8F912EF79B57B21BD2F00FA0,image/jpeg,1440,1120,yes,15,
18,371487147fc7f2da19984667e588262ce5db8f35.jpg,concrete-project-detail-camden-18.jpg,PRESENT-EXACT,371487147fc7f2da19984667e588262ce5db8f35.jpg,177802,71A506B85261A651F17C4AEC444A8B5AAE5353E81421C0B6EEB844E5ECA8527D,image/jpeg,1440,960,yes,15,
19,68feeabbfa09c5bf3b7f0adf662d0139c330665a.jpg,concrete-project-detail-camden-19.jpg,PRESENT-EXACT,68feeabbfa09c5bf3b7f0adf662d0139c330665a.jpg,232604,4A072B6445F358319BB3C4FEDE672EFDA060C46E8F77E2B126D9AF8A3CC28B2F,image/jpeg,1440,960,yes,15,
46,concrete-tesimonial-4.webp,concrete-tesimonial-4-camden-46.webp,PRESENT-EXACT,concrete-tesimonial-4.webp,97124,2D3289196C7F89E771CC971CE63AF2F7618D2B8D952FE3EA3CB3564134B3FF87,image/webp,837,622,yes,15,
47,concrtee-testimonial-6.webp,concrete-testimonial-6-camden-47.webp,PRESENT-EXACT,concrtee-testimonial-6.webp,94814,9D9DEA7EA4F9FCAE4F36368D7A0EBBFAE7ECA5F14B9AA529543A31A78DBD8D68,image/webp,1125,829,yes,15,
48,concrete-testimonial-3.webp,concrete-testimonial-3-camden-48.webp,PRESENT-EXACT,concrete-testimonial-3.webp,325268,0129A76C6211E88D9028F23AAC90A9E6732F29555E106A53001E505B90EE2154,image/webp,1360,766,yes,15,
49,concrete-testimonial-1.webp,concrete-testimonial-1-camden-49.webp,PRESENT-EXACT,concrete-testimonial-1.webp,205494,EE2A79E477CD3934573BFBA08B3CECFC51658E3A52EE30F757363E45BA2B26F9,image/webp,1360,765,yes,15,
50,exposed-aggregate-concrete.jpg,exposed-aggregate-concrete-camden-50.jpg,PRESENT-EXACT,exposed-aggregate-concrete.jpg,660388,285C11F9B6D297AA0561D67A354679A32C30FE8DCEBA371DE69B132160DE5116,image/jpeg,2048,2048,yes,15,
51,concrete-testimonial-2.webp,concrete-testimonial-2-camden-51.webp,PRESENT-EXACT,concrete-testimonial-2.webp,226982,66E4E33563182E1F7815959BB9BC2844617B5DA0817C5FA1D18FFFBCB6383338,image/webp,765,1020,yes,15,
52,concrete-testimonial-1-1.webp,concrete-testimonial-1-1-camden-52.webp,PRESENT-EXACT,concrete-testimonial-1-1.webp,205494,EE2A79E477CD3934573BFBA08B3CECFC51658E3A52EE30F757363E45BA2B26F9,image/webp,1360,765,yes,15,
