new_filename,attachment_id,old_filename,present,bytes,sha256,mime,width,height,exif,verdict,detail
accessible-paths-concrete-184.jpg,184,accessible-paths-concrete.jpg,yes,116029,377DA7F84B2DC54AF27E01C1E5EA3FC920025A61A37D6D9C53FB61B6192B9AD0,image/jpeg,518,567,clean,OK,all checks pass
aerial-new-housing-estate-908.jpg,908,new-estates-werribee.jpg,yes,62897,342C979F044B8A0563457A1471120F03E3F7031E84FF5C8E03F7DBC297DFDDEB,image/jpeg,523,367,clean,OK,all checks pass
aerial-suburban-park-and-housing-1152.jpg,1152,hoppers-crossing-aerial-shot.jpg,yes,114651,C5C8868F92E90B621624C536FCBE1EC1575AF798192F6DAD38703AA86BBBC43F,image/jpeg,623,471,clean,OK,all checks pass
aerial-waterway-residential-area-1056.jpg,1056,davis-creek-tarneit.jpg,yes,186994,9B39857F0E360B02CC032E5574C6713EDD01B21200C126A11E2B4E24C1E5F54E,image/jpeg,784,588,clean,OK,all checks pass
backyard-patio-concreter-227.jpg,227,backyard-patio-concreter.jpg,yes,97336,852DC8CCAC1E7A843DE2B38FD2146380340FED6A0AEA57D9866B9368D0501CAE,image/jpeg,784,588,clean,OK,all checks pass
coloured-concrete-patio-924.png,924,coloured-concrete-melbourne.png,yes,2693231,8F24A8CD81472EA3F5759A23232E3A8E0CAAD28F33AC353ABBDF0576F21B5653,image/png,1176,1176,clean,OK,all checks pass
coloured-detailed-concrete-54.jpg,54,colourdanddetailedconcrete.jpg,yes,64093,762C58937B7E48F1CFF27EFAFCAD11A9CB2D183514F545F3CF9422C80BD758D7,image/jpeg,649,454,clean,OK,all checks pass
commercial-building-concrete-hardstand-1186.webp,1186,truganina-commercial.webp,yes,78058,921C75F4FD0FA4FE83D844FB898B170715490D05BF8BABA30610F8AD131E183A,image/webp,964,543,clean,OK,all checks pass
concrete-driveway-cracks-1-1361.jpg,1361,concrete-drivewya-cracks-1.jpg,yes,98277,DAB261E4267ECBDDD1DBDDDB5A2B9019D5BF1C5177ED9BEA1F2572F036AD639C,image/jpeg,625,470,clean,OK,all checks pass
concrete-driveway-cracks-1359.jpg,1359,concrete-driveway-cracks.jpg,yes,107405,CA31432145E8917EA8599A592E12B4E516E247E8800A8951AB85B4E6D8115CF8,image/jpeg,625,470,clean,OK,all checks pass
concrete-driveway-cracks-2-1362.jpg,1362,concrete-driveway-cracks-2.jpg,yes,121224,42733A23D6A47D69D71DB97BA994F139C95EF52BA0B75F4F8C9225411A995B94,image/jpeg,625,470,clean,OK,all checks pass
concrete-garden-paths-and-connecting-paths-concrete-182.jpg,182,concrete-garden-paths-and-connecting-paths-concrete.jpg,yes,81679,41F1A1E735953D13418278D44146B2201E61E32E6A3E510DAAB2652BE4BB3CF9,image/jpeg,627,470,clean,OK,all checks pass
concrete-project-detail-17.jpg,17,22d688903186d76070a16bfae68d96e22e496089.jpg,yes,187056,B8770E9F24176266F272AE777AC3A304265D88EC4244B6E72F782B655068AD54,image/jpeg,1411,1098,clean,OK,all checks pass
concrete-project-detail-18.jpg,18,371487147fc7f2da19984667e588262ce5db8f35.jpg,yes,151933,DD62A01B2B84888F4A9F743127A5F022E240270A3907FD6E51D28743856F08DB,image/jpeg,1411,941,clean,OK,all checks pass
concrete-project-detail-19.jpg,19,68feeabbfa09c5bf3b7f0adf662d0139c330665a.jpg,yes,198282,2D26C86461EBBA0C86D0C1B60792CED64674C2BFC1D2791A9DE9ADD92AE93415,image/jpeg,1411,941,clean,OK,all checks pass
concrete-sealing-1345.jpg,1345,concrete-sealing.jpg,yes,24681,C28F9819B6A5244ACFE3663B3A9644DA9BCBD584E890D5DDC0721AEB12320EE6,image/jpeg,723,400,clean,OK,all checks pass
concrete-slabs-1065.jpg,1065,concrete-slabs.jpg,yes,61745,917622CA916592A8CE00364AB279D15087239923B9A3FA00F505E3851DEBB066,image/jpeg,543,543,clean,OK,all checks pass
concrete-stepping-slabs-garden-path-51.webp,51,concrete-testimonial-2.webp,yes,231048,1B0E9F6A4C68189E21EED405AD03DA12B8681F266F2AE60D60F6D5A6D392DB86,image/webp,750,1000,clean,OK,all checks pass
concrete-vehicle-crossing-1153.jpg,1153,crossovers.jpg,yes,49117,1BFABEC958A842814806156B1E254A1B8BB80800FAA9AC0979E5D97AD24F34B3,image/jpeg,767,383,clean,OK,all checks pass
concretepoolsurronds-146.jpg,146,concretepoolsurronds.jpg,yes,1411995,970998A9E70339E1CB621985BBB28E4E6B860C649BDAA26A62551B8067A4C217,image/jpeg,2509,1882,clean,OK,all checks pass
control-joints-and-cracks-909.jpg,909,control-joints-and-cracks.jpg,yes,62617,67EC2993F6EA00377AD5EA1B4E1AEEC4AF946CF0E8B870D2EED20F3EA589AFDA,image/jpeg,627,469,clean,OK,all checks pass
dark-concrete-driveway-crossing-1185.jpg,1185,crossovers-concrete-truganina.jpg,yes,45106,15F692C38716F320413A2BCAB23AB52AD136DD10E1F907CF7756FBADE3975C5D,image/jpeg,505,380,clean,OK,all checks pass
dry-cracked-ground-1151.jpg,1151,reactive-clay-concreter.jpg,yes,103666,6DE585AA2DC6E85DE6AB04C65FCF398AE092E5331E9E1FD8601E1A2D66990267,image/jpeg,723,350,clean,OK,all checks pass
dry-cracked-ground-1188.jpg,1188,reactive-clay-concreter-1.jpg,yes,103666,6DE585AA2DC6E85DE6AB04C65FCF398AE092E5331E9E1FD8601E1A2D66990267,image/jpeg,723,350,clean,OK,all checks pass
exposed-aggregate-concrete-50.jpg,50,exposed-aggregate-concrete.jpg,yes,1079697,2B47EB030E2F3A289AB2FC499020FF4CFFED69D3508EB3DC0AB1509102C4A4EF,image/jpeg,2007,2007,clean,OK,all checks pass
exposed-aggregate-front-paths-46.webp,46,concrete-tesimonial-4.webp,yes,78208,A46FE5004F5F94751B84E65C192DB75C1FBD5A3ABEDCFD630A7E96275875F6FD,image/webp,820,610,clean,OK,all checks pass
exposed-aggregate-residential-driveway-48.webp,48,concrete-testimonial-3.webp,yes,336770,DBB525493DD968CE7FB4C828B43EE6BDA3CB79C8072030108952A4FA58306FB3,image/webp,1333,751,clean,OK,all checks pass
exposed-aggregate-residential-driveway-609.jpg,609,exposed-aggregate-adelaide.jpg,yes,463707,8DB8AF9D38D9136230281E464741DE7DE6098F2A65CF11474C759FEBF9212E4C,image/jpeg,1419,1064,clean,OK,all checks pass
extension-and-floor-slabs-concrete-168.jpg,168,exension-and-floor-slabs-concrete.jpg,yes,65532,08DC307C33EF28CCAE99149CE6ECB6C0C17AC57B736554794B98C2A0A41B745C,image/jpeg,438,438,clean,OK,all checks pass
fresh-concrete-backyard-slab-47.webp,47,concrtee-testimonial-6.webp,yes,61418,EC2725BCE807E415A63584199061C7A149B0C7E5D0C4B88EDE5484113A4BEB01,image/webp,1103,812,clean,OK,all checks pass
fresh-concrete-pool-surround-49.webp,49,concrete-testimonial-1.webp,yes,166956,4BC279F2E00CDB60383855802D1AE16DA370823951DBD07553A87B07A3785895,image/webp,1333,750,clean,OK,all checks pass
fresh-concrete-pool-surround-52.webp,52,concrete-testimonial-1-1.webp,yes,166956,4BC279F2E00CDB60383855802D1AE16DA370823951DBD07553A87B07A3785895,image/webp,1333,750,clean,OK,all checks pass
fresh-concrete-side-yard-slab-226.jpg,226,concretejob2werribee.jpg,yes,49549,948692EEF9354EFDA9154F902AC34AF01F7216F9745EC2FFA196E9032C8EE29D,image/jpeg,627,470,clean,OK,all checks pass
fresh-concrete-side-yard-slab-228.jpg,228,cocnretejob1weribee.jpg,yes,45538,D5B9E561DD3954D4974CCB0C74BE03AA8C7ADD0C49B2A04B7DE0D9252479C673,image/jpeg,625,470,clean,OK,all checks pass
front-and-entry-paths-concrete-183.jpg,183,front-and-entry-paths-concrete.jpg,yes,68161,2928950929A21C1A0C81FE856DBFB55972DD9B045FB549B82F8CF39B7F82DBF6,image/jpeg,587,571,clean,OK,all checks pass
garage-slabs-concrete-167.jpg,167,garage-slabs-concrete.jpg,yes,64073,F50E102E6458AA95A110E331A8A32EC3770DBC5B0A5F493B35E8D4E142683A29,image/jpeg,665,443,clean,OK,all checks pass
heave-cracks-1232.jpg,1232,heave-cracks.jpg,yes,38829,7ECEF220A27E680D8D7120F7600A6FA9832C1883BAA46EC3175A878A984DD0A0,image/jpeg,687,429,clean,OK,all checks pass
honed-and-polished-concrete-927.webp,927,honed-and-polished-concrete.webp,yes,129374,95DBEF5B01A506BD3C55BE0FBBAA160BCD19EFA70858C01D6AC6A25DE6FE04D6,image/webp,836,1004,clean,OK,all checks pass
paths-and-pathwaysconcrete-144.jpg,144,pathsandpathwasyconcrete.jpg,yes,64851,D1EBB489C49A729203E7FD8EDA27CF26CEB229C994753C89BB2572A2A13F14C8,image/jpeg,392,522,clean,OK,all checks pass
patiosandalfrescoconcrete-145.jpg,145,patiosandalfrescoconcrete.jpg,yes,55311,6D9E4855C9738873317525C447FE337F37B14D02353578D3D12728033520F3D9,image/jpeg,391,491,clean,OK,all checks pass
patiosandpathways-53.webp,53,patiosandpathways.webp,yes,137728,7F73CE71F0C5A1B74A9A78F4CDB11C3F42786559789EF807239E66ABE80B340A,image/webp,750,1000,clean,OK,all checks pass
patiosconcrete-55.jpg,55,patiosconcrete.jpg,yes,118914,60F1BD471E2F569FAB1C245E2368B9F136584CDFBC8E58DFF339CB405D050BFE,image/jpeg,1274,850,clean,OK,all checks pass
pouring-a-concrete-slab-1066.jpg,1066,pouring-a-concrete-slab.jpg,yes,84963,2AE1D205DB9382F4BC7660611E788B57C9E8AD4F97D2CFC406B73FFA4409C2A6,image/jpeg,627,418,clean,OK,all checks pass
reinforcedheavydutyconcrete-121.webp,121,reinforcedheavydutycocnreer.webp,yes,180920,0B7F4BF3CAA56A3F9393AAED64F6C5F7A7932B15C7235D986A96F990FD59BEC6,image/webp,750,1000,clean,OK,all checks pass
residential-site-excavation-906.jpg,906,excavation-werribee.jpg,yes,71122,755E3EB2327201BB5698CE11383E2A919EDA74EE2332F9203F44526B275C23F8,image/jpeg,723,376,clean,OK,all checks pass
settlement-cracks-1231.jpg,1231,settlement-cracks.jpg,yes,14173,57658DBA4F97762D401C82CA77AC47A38227B6A4D6752034219C25656B6052AD,image/jpeg,627,469,clean,OK,all checks pass
shedslabconcrete-166.jpg,166,shedslabconcrete.jpg,yes,79322,41602FB72601CC77774E5267C439EB23AA884956F4DCD28D87909AE5D6075791,image/jpeg,627,470,clean,OK,all checks pass
shrinkage-cracks-1230.jpg,1230,shrinkage-cracks.jpg,yes,52981,FBA0851168CC9B31D1F863E3CF09C2CCD7657B213361C55ED5A5A35E90019959,image/jpeg,489,368,clean,OK,all checks pass
side-access-paths-concrete-181.jpg,181,side-access-paths-concrete.jpg,yes,53598,31B3C8AD59CAF8DD83BA99108E890215AEA7DA4AA647DE13744E1549B7B5CB95,image/jpeg,391,491,clean,OK,all checks pass
single-storey-brick-home-driveway-1150.jpg,1150,1970s-home-hoppers-crossing.jpg,yes,43290,869F30745DFCDAE783CADF06F050D947E2B0D6000B9E7AF295257EB14BCEC560,image/jpeg,558,361,clean,OK,all checks pass
