URL,Page type,Current WordPress status,Current robots setting,Placeholder count,Photo marker count,Verification marker count,Phone verified,Form dependency,Business-evidence dependency,Index-ready,Exact missing evidence,Recommended action,Page ID,Slug,Page class,Tier,Build status,Blocking marker IDs,Blocking count,Clearable by,Wave assignment,Effective robots directive,Withdrawn,Withdrawal reason
/concreters-oran-park/,suburb,publish,"global staging: noindex,nofollow,noarchive; page: noindex,follow",1,3,1,no — number present,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,"verified legal/operating identity for CoreX Concreters Camden; ownership and call-routing proof for 03 4517 6915; confirm whether the Oran Park estate design guidelines require the driveway to be complete before the Occupation Certificate is issued — check the current Oran Park Estate Design Guidelines before publishing this claim.; verified project photograph, location/service/date record and permission to publish; insert your real per-m² ranges once you've quoted 5+ Camden jobs; authoritative media/Astra import and logged-out visual QA","Keep protected and noindex; resolve every listed item, then repeat staging QA before approval.",474,concreters-oran-park,suburb,1,built,EV-0022;EV-0023;EV-0024;EV-0025;EV-0026,5,council source;owner fact;photo,1,"noindex,follow",no,
/concreters-leppington/,suburb,publish,"global staging: noindex,nofollow,noarchive; page: noindex,follow",0,3,0,no — number present,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,verified legal/operating identity for CoreX Concreters Camden; ownership and call-routing proof for 03 4517 6915; verified CoreX project in Leppington; authoritative media/Astra import and logged-out visual QA,"Keep protected and noindex; resolve every listed item, then repeat staging QA before approval.",221,concreters-leppington,suburb,1,built,EV-0016;EV-0017;EV-0018;EV-0019,4,council source;photo,1,"noindex,follow",no,
/concreters-gregory-hills/,suburb,publish,"global staging: noindex,nofollow,noarchive; page: noindex,follow",0,3,0,no — number present,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,verified legal/operating identity for CoreX Concreters Camden; ownership and call-routing proof for 03 4517 6915; verified CoreX project in Gregory Hills; authoritative media/Astra import and logged-out visual QA,"Keep protected and noindex; resolve every listed item, then repeat staging QA before approval.",969,concreters-gregory-hills,suburb,1,built,EV-0034;EV-0035;EV-0036,3,photo,1,"noindex,follow",no,
/concreters-gledswood-hills/,suburb,publish,"global staging: noindex,nofollow,noarchive; page: noindex,follow",0,3,0,no — number present,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,verified legal/operating identity for CoreX Concreters Camden; ownership and call-routing proof for 03 4517 6915; verified CoreX project in Gledswood Hills; authoritative media/Astra import and logged-out visual QA,"Keep protected and noindex; resolve every listed item, then repeat staging QA before approval.",1370,concreters-gledswood-hills,suburb,1,built,EV-0062;EV-0063;EV-0064,3,photo,1,"noindex,follow",no,
/concreters-austral/,suburb,publish,"global staging: noindex,nofollow,noarchive; page: noindex,follow",0,3,0,no — number present,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,verified legal/operating identity for CoreX Concreters Camden; ownership and call-routing proof for 03 4517 6915; verified CoreX project in Austral; authoritative media/Astra import and logged-out visual QA,"Keep protected and noindex; resolve every listed item, then repeat staging QA before approval.",1163,concreters-austral,suburb,1,built,EV-0040;EV-0041;EV-0042;EV-0043,4,council source;photo,1,"noindex,follow",no,
/concreters-harrington-park/,suburb,publish,"global staging: noindex,nofollow,noarchive; page: noindex,follow",0,3,0,no — number present,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,verified legal/operating identity for CoreX Concreters Camden; ownership and call-routing proof for 03 4517 6915; verified CoreX project in Harrington Park; authoritative media/Astra import and logged-out visual QA,"Keep protected and noindex; resolve every listed item, then repeat staging QA before approval.",1126,concreters-harrington-park,suburb,1,built,EV-0037;EV-0038;EV-0039,3,photo,1,"noindex,follow",no,
/,home,publish,"global staging: noindex,nofollow,noarchive; page: default (no page override)",6,0,0,no — number present,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,verified legal/operating identity for CoreX Concreters Camden; ownership and call-routing proof for 03 4517 6915; verified CoreX review text and permission to publish; verified reviewer name; authoritative media/Astra import and logged-out visual QA,"Keep protected and noindex; resolve every listed item, then repeat staging QA before approval.",12,homepage,home,,built,EV-0001;EV-0002;EV-0003;EV-0004;EV-0005;EV-0006,6,owner fact,1,"noindex,follow",no,
/contact/,utility,publish,"global staging: noindex,nofollow,noarchive; page: default (no page override)",2,0,0,no — number present,Fluent Forms ID 3 + verified recipient/privacy/SMTP,yes — legal/operating identity; plus any listed page-specific evidence,no,"verified legal/operating identity for CoreX Concreters Camden; ownership and call-routing proof for 03 4517 6915; approved Fluent Forms form 3, recipient email, privacy basis, SMTP and delivery test; verified CoreX ABN; verified CoreX business address; authoritative media/Astra import and logged-out visual QA","Keep protected and noindex; resolve every listed item, then repeat staging QA before approval.",321,contact,utility,,built,EV-0020;EV-0021,2,owner fact,1,"noindex,follow",no,
/quote/,utility,publish,"global staging: noindex,nofollow,noarchive; page: default (no page override)",4,0,0,no — global contact presentation unverified,Fluent Forms ID 3 + verified recipient/privacy/SMTP,yes — legal/operating identity; plus any listed page-specific evidence,no,"verified legal/operating identity for CoreX Concreters Camden; verified global header/footer phone after Astra settings are supplied; approved Fluent Forms form 3, recipient email, privacy basis, SMTP and delivery test; operator-approved quote turnaround and inclusions; verified CoreX ABN; verified CoreX business address; authoritative media/Astra import and logged-out visual QA","Keep protected and noindex; resolve every listed item, then repeat staging QA before approval.",1363,quote,utility,,built,EV-0044;EV-0045;EV-0046;EV-0047,4,owner fact,1,"noindex,follow",no,
/about/,utility,publish,"global staging: noindex,nofollow,noarchive; page: default (no page override)",4,0,0,no — global contact presentation unverified,Fluent Forms ID 3 + verified recipient/privacy/SMTP,yes — legal/operating identity; plus any listed page-specific evidence,no,"verified legal/operating identity for CoreX Concreters Camden; verified global header/footer phone after Astra settings are supplied; approved Fluent Forms form 3, recipient email, privacy basis, SMTP and delivery test; verified licence, insurance and operator profile; verified CoreX ABN; verified CoreX business address; authoritative media/Astra import and logged-out visual QA","Keep protected and noindex; resolve every listed item, then repeat staging QA before approval.",1364,about,utility,,built,EV-0048;EV-0049;EV-0050;EV-0051,4,owner fact,1,"noindex,follow",no,
/gallery/,utility,publish,"global staging: noindex,nofollow,noarchive; page: noindex,follow",2,2,0,no — global contact presentation unverified,Fluent Forms ID 3 + verified recipient/privacy/SMTP,yes — legal/operating identity; plus any listed page-specific evidence,no,"verified legal/operating identity for CoreX Concreters Camden; verified global header/footer phone after Astra settings are supplied; approved Fluent Forms form 3, recipient email, privacy basis, SMTP and delivery test; project image, suburb, service, completion date and permission to publish; verified CoreX ABN; verified CoreX business address; authoritative media/Astra import and logged-out visual QA","Keep protected and noindex; resolve every listed item, then repeat staging QA before approval.",1365,gallery,utility,,built,EV-0052;EV-0053;EV-0054;EV-0055,4,owner fact;photo,1,"noindex,follow",no,
/concrete-driveways-south-west-sydney/,service,publish,"global staging: noindex,nofollow,noarchive; page: default (no page override)",1,0,0,no — number present,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,"verified legal/operating identity for CoreX Concreters Camden; ownership and call-routing proof for 03 4517 6915; operator-approved concrete driveways range from real CoreX quotes, including the assumptions behind it; authoritative media/Astra import and logged-out visual QA","Keep protected and noindex; resolve every listed item, then repeat staging QA before approval.",105,concrete-driveways-south-west-sydney,service,,built,EV-0007,1,owner fact,1,"noindex,follow",no,
/concrete-driveway-replacement-south-west-sydney/,service,publish,"global staging: noindex,nofollow,noarchive; page: default (no page override)",1,0,0,no — number present,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,"verified legal/operating identity for CoreX Concreters Camden; ownership and call-routing proof for 03 4517 6915; operator-approved concrete driveway replacement range from real CoreX quotes, including the assumptions behind it; authoritative media/Astra import and logged-out visual QA","Keep protected and noindex; resolve every listed item, then repeat staging QA before approval.",1366,concrete-driveway-replacement-south-west-sydney,service,,built,EV-0056,1,owner fact,1,"noindex,follow",no,
/concrete-slabs-south-west-sydney/,service,publish,"global staging: noindex,nofollow,noarchive; page: default (no page override)",1,0,0,no — global contact presentation unverified,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,"verified legal/operating identity for CoreX Concreters Camden; verified global header/footer phone after Astra settings are supplied; operator-approved concrete slabs range from real CoreX quotes, including the assumptions behind it; authoritative media/Astra import and logged-out visual QA","Keep protected and noindex; resolve every listed item, then repeat staging QA before approval.",163,concrete-slabs-south-west-sydney,service,,built,EV-0009,1,owner fact,1,"noindex,follow",no,
