attachment_id,old_filename,new_filename,alt_text,total_page_count,victorian_token,renamed_to_nsw_place
226,concretejob2werribee.jpg,concretejob2camden-226.jpg,Concretejob2camden,14,WERRIBEE,yes
306,e_t_co_concreters_favicon_512_symbol_only.png,corex-concreters-camden-logo-306.png,Corex concreters camden logo,8,E_T_CO,yes
307,cropped-e_t_co_concreters_favicon_512_symbol_only.png,corex-concreters-camden-logo-307.png,Corex concreters camden logo,2,E_T_CO,yes
422,cropped-e_t_co_concreters_favicon_512_symbol_only-1.png,corex-concreters-camden-logo-422.png,Corex concreters camden logo,0,E_T_CO,yes
480,pointcook1.webp,oran-park1-480.webp,Oran park1,14,POINTCOOK,yes
481,pointcook2.webp,oran-park2-481.webp,Oran park2,14,POINTCOOK,yes
482,pointcook3.webp,oran-park3-482.webp,Oran park3,14,POINTCOOK,yes
906,excavation-werribee.jpg,driveway-excavation-camden-906.jpg,Driveway excavation camden,14,WERRIBEE,yes
907,werribee-town.jpg,camden-town-centre-907.jpg,Camden town centre,14,WERRIBEE,yes
908,new-estates-werribee.jpg,oran-park-growth-estate-908.jpg,Oran park growth estate,14,WERRIBEE,yes
924,coloured-concrete-melbourne.png,coloured-concrete-south-west-sydney-924.png,Coloured concrete south west sydney,15,MELBOURNE,yes
925,stencil-concrete-melbourne.webp,stencil-concrete-south-west-sydney-925.webp,Stencil concrete south west sydney,15,MELBOURNE,yes
926,stamped-copncrete-melbourne.jpg,stamped-concrete-south-west-sydney-926.jpg,Stamped concrete south west sydney,15,MELBOURNE,yes
956,melbournes-west.png,south-west-sydney-growth-corridor-956.png,South west sydney growth corridor,15,MELBOURNE,yes
1020,TARNEIT-SOIL.jpg,wianamatta-shale-clay-camden-1020.jpg,Wianamatta shale clay camden,15,TARNEIT,yes
1056,davis-creek-tarneit.jpg,south-creek-drainage-corridor-1056.jpg,South creek drainage corridor,15,"TARNEIT,DAVIS-CREEK",no
1150,1970s-home-hoppers-crossing.jpg,established-home-mount-annan-1150.jpg,Established home mount annan,14,HOPPERS,yes
1152,hoppers-crossing-aerial-shot.jpg,mount-annan-established-housing-1152.jpg,Mount annan established housing,14,HOPPERS,yes
1185,crossovers-concrete-truganina.jpg,council-crossing-south-west-sydney-1185.jpg,Council crossing south west sydney,14,TRUGANINA,yes
1186,truganina-commercial.webp,gregory-hills-commercial-concreting-1186.webp,Gregory hills commercial concreting,14,TRUGANINA,yes
1187,new-estates-truganina.jpg,leppington-new-estates-1187.jpg,Leppington new estates,14,TRUGANINA,yes
