post_id,slug,page_class,status,body_words,metric_a_shingle_unique,metric_b_corpus_hapax,sourced_threshold,threshold_enforced,meets_threshold_metric_a,below_loosest_sourced_50pct,shingles_over_cap
12,homepage,home,publish,500,0.8746,0.1034,none,no — definition AWAITING APPROVAL,,no,30
105,concrete-driveways-south-west-sydney,service,publish,2282,0.8683,0.0032,none,no — definition AWAITING APPROVAL,,no,133
129,exposed-aggregate-south-west-sydney,service,publish,1999,0.8883,0.0000,none,no — definition AWAITING APPROVAL,,no,114
163,concrete-slabs-south-west-sydney,service,publish,2227,0.8775,0.0000,none,no — definition AWAITING APPROVAL,,no,148
178,concrete-paths-south-west-sydney,service,publish,1862,0.7628,0.0071,none,no — definition AWAITING APPROVAL,,no,143
195,concrete-patios-south-west-sydney,service,publish,1877,0.7556,0.0071,none,no — definition AWAITING APPROVAL,,no,133
221,concreters-leppington,suburb,publish,1232,0.6371,0.0818,0.60,no — definition AWAITING APPROVAL,yes,no,321
321,contact,utility,publish,126,0.7590,0.0000,none,no — definition AWAITING APPROVAL,,no,16
474,concreters-oran-park,suburb,publish,1881,0.8647,0.2391,0.60,no — definition AWAITING APPROVAL,yes,no,192
555,concrete-driveway-cost-nsw,guide,draft,3474,0.9171,0.0029,0.85,no — definition AWAITING APPROVAL,yes,no,85
706,camden-council-driveway-crossing,guide,draft,3449,0.9115,0.0084,0.85,no — definition AWAITING APPROVAL,yes,no,95
922,decorative-concrete-south-west-sydney,service,publish,1174,0.8372,0.0088,none,no — definition AWAITING APPROVAL,,no,97
969,concreters-gregory-hills,suburb,publish,1257,0.5352,0.0305,0.60,no — definition AWAITING APPROVAL,NO,no,403
1126,concreters-harrington-park,suburb,publish,1374,0.5450,0.0174,0.60,no — definition AWAITING APPROVAL,NO,no,392
1163,concreters-austral,suburb,publish,1249,0.5390,0.0392,0.60,no — definition AWAITING APPROVAL,NO,no,400
1215,why-concrete-cracks,guide,draft,592,0.8834,0.0000,0.85,no — definition AWAITING APPROVAL,yes,no,54
1363,quote,utility,publish,116,0.8077,0.1017,none,no — definition AWAITING APPROVAL,,no,15
1364,about,utility,publish,126,0.7590,0.0508,none,no — definition AWAITING APPROVAL,,no,15
1365,gallery,utility,publish,108,0.6622,0.0545,none,no — definition AWAITING APPROVAL,,no,16
1366,concrete-driveway-replacement-south-west-sydney,service,publish,2257,0.8608,0.0033,none,no — definition AWAITING APPROVAL,,no,132
1367,shed-and-garage-slabs-south-west-sydney,service,publish,2138,0.8920,0.0071,none,no — definition AWAITING APPROVAL,,no,103
1368,concrete-crossovers-and-laybacks-south-west-sydney,service,publish,3068,0.9152,0.0057,none,no — definition AWAITING APPROVAL,,no,137
1369,commercial-concreting-south-west-sydney,service,publish,2120,0.8031,0.0034,none,no — definition AWAITING APPROVAL,,no,122
1370,concreters-gledswood-hills,suburb,publish,1329,0.5957,0.0681,0.60,no — definition AWAITING APPROVAL,NO,no,363
1371,concreters-catherine-field,suburb,draft,1266,0.5317,0.0176,0.60,no — definition AWAITING APPROVAL,NO,no,423
1372,concreters-narellan,suburb,draft,1166,0.5148,0.0531,0.60,no — definition AWAITING APPROVAL,NO,no,426
1373,concreters-narellan-vale,suburb,draft,97,0.0870,0.0000,0.60,no — definition AWAITING APPROVAL,NO,yes,82
1374,concreters-smeaton-grange,suburb,draft,97,0.0870,0.0000,0.60,no — definition AWAITING APPROVAL,NO,yes,82
1375,concreters-mount-annan,suburb,draft,1243,0.5304,0.0245,0.60,no — definition AWAITING APPROVAL,NO,no,403
1376,concreters-currans-hill,suburb,draft,1124,0.5468,0.0108,0.60,no — definition AWAITING APPROVAL,NO,no,392
1377,concreters-spring-farm,suburb,draft,1306,0.5231,0.0463,0.60,no — definition AWAITING APPROVAL,NO,no,421
1378,concreters-elderslie,suburb,draft,1046,0.5253,0.0296,0.60,no — definition AWAITING APPROVAL,NO,no,371
1379,concreters-cobbitty,suburb,draft,1194,0.5140,0.0352,0.60,no — definition AWAITING APPROVAL,NO,no,415
1380,concreters-camden-south,suburb,draft,97,0.0870,0.0000,0.60,no — definition AWAITING APPROVAL,NO,yes,83
1381,concreters-kirkham,suburb,draft,95,0.0778,0.0000,0.60,no — definition AWAITING APPROVAL,NO,yes,83
1382,concreters-grasmere,suburb,draft,95,0.0778,0.0000,0.60,no — definition AWAITING APPROVAL,NO,yes,83
1383,concreters-ellis-lane,suburb,draft,97,0.0978,0.0000,0.60,no — definition AWAITING APPROVAL,NO,yes,83
1384,concreters-theresa-park,suburb,draft,97,0.0761,0.0000,0.60,no — definition AWAITING APPROVAL,NO,yes,84
1385,concreters-camden-park,suburb,draft,97,0.0652,0.0000,0.60,no — definition AWAITING APPROVAL,NO,yes,84
1386,concreters-cawdor,suburb,draft,95,0.0778,0.0000,0.60,no — definition AWAITING APPROVAL,NO,yes,83
1387,concreters-edmondson-park,suburb,draft,1258,0.5508,0.0390,0.60,no — definition AWAITING APPROVAL,NO,no,388
1388,concreters-bringelly,suburb,draft,1242,0.5713,0.0457,0.60,no — definition AWAITING APPROVAL,NO,no,346
1389,concreters-rossmore,suburb,draft,96,0.0879,0.0000,0.60,no — definition AWAITING APPROVAL,NO,yes,83
1390,concreters-middleton-grange,suburb,draft,98,0.0860,0.0000,0.60,no — definition AWAITING APPROVAL,NO,yes,84
1391,concreters-west-hoxton,suburb,draft,98,0.0968,0.0000,0.60,no — definition AWAITING APPROVAL,NO,yes,84
1392,concreters-hoxton-park,suburb,draft,98,0.0753,0.0000,0.60,no — definition AWAITING APPROVAL,NO,yes,85
1393,concreters-carnes-hill,suburb,draft,98,0.0968,0.0000,0.60,no — definition AWAITING APPROVAL,NO,yes,84
1394,concreters-horningsea-park,suburb,draft,98,0.0753,0.0000,0.60,no — definition AWAITING APPROVAL,NO,yes,85
1395,concreters-elizabeth-hills,suburb,draft,98,0.0753,0.0000,0.60,no — definition AWAITING APPROVAL,NO,yes,84
1396,concreters-len-waters-estate,suburb,draft,100,0.1158,0.0000,0.60,no — definition AWAITING APPROVAL,NO,yes,84
1397,concreters-cecil-hills,suburb,draft,98,0.0645,0.0000,0.60,no — definition AWAITING APPROVAL,NO,yes,84
1398,concreters-prestons,suburb,draft,96,0.0769,0.0000,0.60,no — definition AWAITING APPROVAL,NO,yes,84
1399,concreters-casula,suburb,draft,96,0.0769,0.0000,0.60,no — definition AWAITING APPROVAL,NO,yes,84
1400,concreters-moorebank,suburb,draft,96,0.0769,0.0000,0.60,no — definition AWAITING APPROVAL,NO,yes,84
1401,concreters-chipping-norton,suburb,draft,98,0.0968,0.0000,0.60,no — definition AWAITING APPROVAL,NO,yes,84
1402,concreters-wattle-grove,suburb,draft,98,0.1075,0.0123,0.60,no — definition AWAITING APPROVAL,NO,yes,83
1403,concreters-kemps-creek,suburb,draft,98,0.0968,0.0000,0.60,no — definition AWAITING APPROVAL,NO,yes,83
1404,concreters-cecil-park,suburb,draft,98,0.0753,0.0000,0.60,no — definition AWAITING APPROVAL,NO,yes,84
1405,concreters-campbelltown,suburb,draft,96,0.0769,0.0000,0.60,no — definition AWAITING APPROVAL,NO,yes,84
1406,concreters-leumeah,suburb,draft,96,0.0769,0.0000,0.60,no — definition AWAITING APPROVAL,NO,yes,84
1407,concreters-minto,suburb,draft,96,0.0769,0.0000,0.60,no — definition AWAITING APPROVAL,NO,yes,83
1408,concreters-ingleburn,suburb,draft,96,0.0879,0.0125,0.60,no — definition AWAITING APPROVAL,NO,yes,83
1409,concreters-glenfield,suburb,draft,96,0.0879,0.0125,0.60,no — definition AWAITING APPROVAL,NO,yes,83
1410,concreters-macquarie-fields,suburb,draft,98,0.1075,0.0123,0.60,no — definition AWAITING APPROVAL,NO,yes,83
1411,concreters-raby,suburb,draft,96,0.0769,0.0000,0.60,no — definition AWAITING APPROVAL,NO,yes,83
1412,concreters-eagle-vale,suburb,draft,98,0.0968,0.0123,0.60,no — definition AWAITING APPROVAL,NO,yes,83
1413,concreters-bradbury,suburb,draft,96,0.0769,0.0000,0.60,no — definition AWAITING APPROVAL,NO,yes,84
1414,concreters-glen-alpine,suburb,draft,98,0.0968,0.0000,0.60,no — definition AWAITING APPROVAL,NO,yes,84
1415,concreters-gilead,suburb,draft,96,0.0769,0.0000,0.60,no — definition AWAITING APPROVAL,NO,yes,84
1416,concreters-menangle-park,suburb,draft,98,0.0860,0.0123,0.60,no — definition AWAITING APPROVAL,NO,yes,84
1417,concreters-wilton,suburb,draft,96,0.0769,0.0000,0.60,no — definition AWAITING APPROVAL,NO,yes,83
1418,concreters-picton,suburb,draft,96,0.0769,0.0000,0.60,no — definition AWAITING APPROVAL,NO,yes,83
1419,concreters-tahmoor,suburb,draft,96,0.0879,0.0125,0.60,no — definition AWAITING APPROVAL,NO,yes,83
1420,concreters-appin,suburb,draft,96,0.0879,0.0000,0.60,no — definition AWAITING APPROVAL,NO,yes,83
1421,concreters-douglas-park,suburb,draft,98,0.0968,0.0123,0.60,no — definition AWAITING APPROVAL,NO,yes,84
1422,concreters-menangle,suburb,draft,96,0.0769,0.0125,0.60,no — definition AWAITING APPROVAL,NO,yes,83
1423,concreters-the-oaks,suburb,draft,98,0.1075,0.0000,0.60,no — definition AWAITING APPROVAL,NO,yes,83
1424,concreters-bargo,suburb,draft,96,0.0879,0.0125,0.60,no — definition AWAITING APPROVAL,NO,yes,83
1425,liverpool-council-vehicle-crossing,guide,draft,870,0.8488,0.0000,0.85,no — definition AWAITING APPROVAL,NO,no,71
1426,campbelltown-council-driveway-crossing,guide,draft,851,0.7573,0.0000,0.85,no — definition AWAITING APPROVAL,NO,no,112
1427,wollondilly-council-driveway-crossing,guide,draft,847,0.7604,0.0000,0.85,no — definition AWAITING APPROVAL,NO,no,110
1428,driveway-crossover-cost-nsw,guide,draft,801,0.8148,0.0000,0.85,no — definition AWAITING APPROVAL,NO,no,75
1429,do-i-need-council-approval-driveway-nsw,guide,draft,810,0.8723,0.0000,0.85,no — definition AWAITING APPROVAL,yes,no,57
1430,reactive-clay-slabs-as2870,guide,draft,804,0.8804,0.0000,0.85,no — definition AWAITING APPROVAL,yes,no,55
1431,salinity-and-concrete-western-sydney,guide,draft,701,0.8864,0.0000,0.85,no — definition AWAITING APPROVAL,yes,no,47
1432,engineered-fill-and-why-new-estate-slabs-crack,guide,draft,813,0.8898,0.0000,0.85,no — definition AWAITING APPROVAL,yes,no,51
1433,site-classification-explained,guide,draft,696,0.8815,0.0000,0.85,no — definition AWAITING APPROVAL,yes,no,49
1434,concrete-strength-grades-explained,guide,draft,697,0.8938,0.0000,0.85,no — definition AWAITING APPROVAL,yes,no,51
1435,sl72-vs-sl82-reinforcement,guide,draft,800,0.8824,0.0000,0.85,no — definition AWAITING APPROVAL,yes,no,47
1436,slab-thickness-for-driveways-vs-sheds,guide,draft,807,0.8330,0.0000,0.85,no — definition AWAITING APPROVAL,NO,no,55
1437,control-joints-and-saw-cut-timing,guide,draft,806,0.8785,0.0000,0.85,no — definition AWAITING APPROVAL,yes,no,56
1438,concrete-slab-cost-per-m2,guide,draft,803,0.8478,0.0000,0.85,no — definition AWAITING APPROVAL,NO,no,62
1439,exposed-aggregate-cost,guide,draft,798,0.6579,0.0000,0.85,no — definition AWAITING APPROVAL,NO,no,98
1440,stencilled-vs-stamped-concrete-cost,guide,draft,804,0.8609,0.0000,0.85,no — definition AWAITING APPROVAL,yes,no,57
1441,shed-slab-cost,guide,draft,798,0.8070,0.0000,0.85,no — definition AWAITING APPROVAL,NO,no,62
1442,commercial-hardstand-cost,guide,draft,798,0.7368,0.0000,0.85,no — definition AWAITING APPROVAL,NO,no,70
1443,what-actually-moves-a-concrete-quote,guide,draft,807,0.8785,0.0000,0.85,no — definition AWAITING APPROVAL,yes,no,49
1444,exposed-aggregate-vs-stencil,guide,draft,800,0.6492,0.0000,0.85,no — definition AWAITING APPROVAL,NO,no,95
1445,coloured-concrete-explained,guide,draft,594,0.8612,0.0000,0.85,no — definition AWAITING APPROVAL,yes,no,49
1446,honed-and-polished-concrete,guide,draft,698,0.8838,0.0000,0.85,no — definition AWAITING APPROVAL,yes,no,49
1447,broom-finish-concrete,guide,draft,696,0.8831,0.0000,0.85,no — definition AWAITING APPROVAL,yes,no,56
1448,non-slip-finishes-for-pools-and-slopes,guide,draft,809,0.8766,0.0000,0.85,no — definition AWAITING APPROVAL,yes,no,57
1449,sealing-and-resealing-concrete,guide,draft,698,0.8838,0.0000,0.85,no — definition AWAITING APPROVAL,yes,no,56
1450,concrete-vs-pavers-vs-asphalt,guide,draft,804,0.7870,0.0000,0.85,no — definition AWAITING APPROVAL,NO,no,77
1451,concrete-crack-types-and-which-matter,guide,draft,807,0.8742,0.0000,0.85,no — definition AWAITING APPROVAL,yes,no,51
1452,concrete-repair-vs-replace,guide,draft,799,0.8758,0.0000,0.85,no — definition AWAITING APPROVAL,yes,no,57
1453,how-long-before-you-can-drive-on-concrete,guide,draft,813,0.8701,0.0000,0.85,no — definition AWAITING APPROVAL,yes,no,53
1454,curing-concrete-in-summer-vs-winter,guide,draft,805,0.8525,0.0000,0.85,no — definition AWAITING APPROVAL,yes,no,68
1455,concrete-efflorescence,guide,draft,590,0.8777,0.0000,0.85,no — definition AWAITING APPROVAL,yes,no,49
1456,removing-oil-stains-and-tyre-marks-from-concrete,guide,draft,813,0.8701,0.0000,0.85,no — definition AWAITING APPROVAL,yes,no,53
1457,driveway-cost-calculator,cost_comparison,draft,3986,0.9083,0.0000,none,no — definition AWAITING APPROVAL,,no,83
1458,slab-volume-calculator,cost_comparison,draft,3981,0.9357,0.0000,none,no — definition AWAITING APPROVAL,,no,83
1459,concrete-vs-pavers,cost_comparison,draft,692,0.8264,0.0000,none,no — definition AWAITING APPROVAL,,no,54
1460,concrete-vs-asphalt,cost_comparison,draft,693,0.8700,0.0000,none,no — definition AWAITING APPROVAL,,no,54
1461,exposed-aggregate-vs-plain-concrete,cost_comparison,draft,800,0.6718,0.0000,none,no — definition AWAITING APPROVAL,,no,74
1462,diy-concrete-vs-hiring-a-concreter,cost_comparison,draft,803,0.8824,0.0000,none,no — definition AWAITING APPROVAL,,no,45
1463,plain-concrete-driveway-cost,cost_comparison,draft,4000,0.8948,0.0000,none,no — definition AWAITING APPROVAL,,no,146
1464,exposed-aggregate-driveway-cost,cost_comparison,draft,3998,0.9269,0.0000,none,no — definition AWAITING APPROVAL,,no,110
1465,coloured-concrete-driveway-cost,cost_comparison,draft,4001,0.8919,0.0000,none,no — definition AWAITING APPROVAL,,no,147
1466,stencilled-concrete-driveway-cost,cost_comparison,draft,4000,0.8954,0.0000,none,no — definition AWAITING APPROVAL,,no,146
1467,concrete-crossovers-and-laybacks-oran-park,intersection,draft,3013,0.7039,0.0060,0.50,no — definition AWAITING APPROVAL,yes,no,128
1468,concrete-driveways-oran-park,intersection,draft,2167,0.8829,0.0072,0.50,no — definition AWAITING APPROVAL,yes,no,140
1469,shed-and-garage-slabs-oran-park,intersection,draft,2143,0.8766,0.0000,0.50,no — definition AWAITING APPROVAL,yes,no,77
1470,exposed-aggregate-oran-park,intersection,draft,1913,0.7648,0.0153,0.50,no — definition AWAITING APPROVAL,yes,no,136
1471,concrete-crossovers-and-laybacks-leppington,intersection,draft,2967,0.9065,0.0000,0.50,no — definition AWAITING APPROVAL,yes,no,102
1472,concrete-slabs-leppington,intersection,draft,2093,0.8951,0.0073,0.50,no — definition AWAITING APPROVAL,yes,no,98
1473,concrete-driveways-leppington,intersection,draft,2139,0.9014,0.0143,0.50,no — definition AWAITING APPROVAL,yes,no,106
1474,commercial-concreting-gregory-hills,intersection,draft,2118,0.8808,0.0000,0.50,no — definition AWAITING APPROVAL,yes,no,104
1475,concrete-slabs-gregory-hills,intersection,draft,2114,0.8903,0.0109,0.50,no — definition AWAITING APPROVAL,yes,no,100
1476,concrete-slabs-gledswood-hills,intersection,draft,2117,0.7637,0.0035,0.50,no — definition AWAITING APPROVAL,yes,no,127
1477,exposed-aggregate-gledswood-hills,intersection,draft,1908,0.6521,0.0076,0.50,no — definition AWAITING APPROVAL,yes,no,135
1478,concrete-patios-gledswood-hills,intersection,draft,1857,0.8439,0.0036,0.50,no — definition AWAITING APPROVAL,yes,no,142
1479,concrete-driveways-austral,intersection,draft,2151,0.8842,0.0000,0.50,no — definition AWAITING APPROVAL,yes,no,129
1480,concrete-slabs-austral,intersection,draft,2096,0.8013,0.0037,0.50,no — definition AWAITING APPROVAL,yes,no,101
1481,concrete-crossovers-and-laybacks-austral,intersection,draft,2974,0.7897,0.0092,0.50,no — definition AWAITING APPROVAL,yes,no,124
1482,exposed-aggregate-harrington-park,intersection,draft,1926,0.6749,0.0000,0.50,no — definition AWAITING APPROVAL,yes,no,129
1483,decorative-concrete-harrington-park,intersection,draft,1020,0.7750,0.0204,0.50,no — definition AWAITING APPROVAL,yes,no,71
1484,concrete-driveway-replacement-harrington-park,intersection,draft,2192,0.8737,0.0000,0.50,no — definition AWAITING APPROVAL,yes,no,122
1485,concrete-driveways-catherine-field,intersection,draft,2185,0.8689,0.0034,0.50,no — definition AWAITING APPROVAL,yes,no,119
1486,shed-and-garage-slabs-catherine-field,intersection,draft,2121,0.8796,0.0075,0.50,no — definition AWAITING APPROVAL,yes,no,73
1487,concrete-paths-edmondson-park,intersection,draft,1857,0.8771,0.0000,0.50,no — definition AWAITING APPROVAL,yes,no,104
1488,concrete-patios-edmondson-park,intersection,draft,1849,0.7379,0.0037,0.50,no — definition AWAITING APPROVAL,yes,no,165
1489,concrete-driveways-edmondson-park,intersection,draft,2159,0.7710,0.0109,0.50,no — definition AWAITING APPROVAL,yes,no,143
1490,commercial-concreting-narellan,intersection,draft,2096,0.8852,0.0000,0.50,no — definition AWAITING APPROVAL,yes,no,78
1491,concrete-driveway-replacement-narellan,intersection,draft,2155,0.7719,0.0109,0.50,no — definition AWAITING APPROVAL,yes,no,118
1492,concrete-driveway-replacement-mount-annan,intersection,draft,2192,0.8928,0.0070,0.50,no — definition AWAITING APPROVAL,yes,no,118
1493,concrete-driveways-spring-farm,intersection,draft,2178,0.7572,0.0000,0.50,no — definition AWAITING APPROVAL,yes,no,112
1494,concrete-crossovers-and-laybacks-spring-farm,intersection,draft,2971,0.9345,0.0061,0.50,no — definition AWAITING APPROVAL,yes,no,79
1495,concrete-patios-elderslie,intersection,draft,1851,0.7548,0.0036,0.50,no — definition AWAITING APPROVAL,yes,no,134
1496,concrete-crossovers-and-laybacks-currans-hill,intersection,draft,2981,0.9085,0.0000,0.50,no — definition AWAITING APPROVAL,yes,no,106
1497,concrete-driveway-replacement-currans-hill,intersection,draft,2174,0.7722,0.0108,0.50,no — definition AWAITING APPROVAL,yes,no,118
1498,concrete-driveways-cobbitty,intersection,draft,2170,0.8708,0.0000,0.50,no — definition AWAITING APPROVAL,yes,no,121
1499,commercial-concreting-cobbitty,intersection,draft,2098,0.9003,0.0036,0.50,no — definition AWAITING APPROVAL,yes,no,99
1500,commercial-concreting-bringelly,intersection,draft,2125,0.8661,0.0000,0.50,no — definition AWAITING APPROVAL,yes,no,101
1501,concrete-slabs-bringelly,intersection,draft,2085,0.8970,0.0074,0.50,no — definition AWAITING APPROVAL,yes,no,78
1502,guides,guide_hub,draft,602,0.9298,0.1053,none,no — definition AWAITING APPROVAL,,no,35
(unallocated),(pending Stage 31 approval),cost_comparison,not yet created,,DEFERRED TO STAGE 31 — not yet built,DEFERRED TO STAGE 31 — not yet built,none,no — definition AWAITING APPROVAL,DEFERRED TO STAGE 31 — not yet built,DEFERRED TO STAGE 31 — not yet built,DEFERRED TO STAGE 31 — not yet built
