post_id,slug,page_class,status,total_words,evidential_sections,words_lost,words_surviving,pct_lost,real_photo_pending,sample
1365,gallery,utility,publish,108,2,58,50,53.7,2,"Speak with CoreX [[REAL_PHOTO_PENDING: project image, suburb, service, completion date and permission to publish]]"
1376,concreters-currans-hill,suburb,draft,1124,1,27,1097,2.4,3,[[REAL_PHOTO_PENDING: verified CoreX project in Currans Hill]] [[REAL_PHOTO_PENDING: verified CoreX project in Currans Hill]] [[REAL_PHOTO_PENDING: verified CoreX project in Currans Hill]]
1378,concreters-elderslie,suburb,draft,1046,1,24,1022,2.3,3,[[REAL_PHOTO_PENDING: verified CoreX project in Elderslie]] [[REAL_PHOTO_PENDING: verified CoreX project in Elderslie]] [[REAL_PHOTO_PENDING: verified CoreX project in Elderslie]]
1375,concreters-mount-annan,suburb,draft,1243,1,27,1216,2.2,3,[[REAL_PHOTO_PENDING: verified CoreX project in Mount Annan]] [[REAL_PHOTO_PENDING: verified CoreX project in Mount Annan]] [[REAL_PHOTO_PENDING: verified CoreX project in Mount Annan]]
969,concreters-gregory-hills,suburb,publish,1257,1,27,1230,2.1,3,[[REAL_PHOTO_PENDING: verified CoreX project in Gregory Hills]] [[REAL_PHOTO_PENDING: verified CoreX project in Gregory Hills]] [[REAL_PHOTO_PENDING: verified CoreX project in Gregory Hills]]
1371,concreters-catherine-field,suburb,draft,1266,1,27,1239,2.1,3,[[REAL_PHOTO_PENDING: verified CoreX project in Catherine Field]] [[REAL_PHOTO_PENDING: verified CoreX project in Catherine Field]] [[REAL_PHOTO_PENDING: verified CoreX project in Catherine Field]]
1387,concreters-edmondson-park,suburb,draft,1258,1,27,1231,2.1,3,[[REAL_PHOTO_PENDING: verified CoreX project in Edmondson Park]] [[REAL_PHOTO_PENDING: verified CoreX project in Edmondson Park]] [[REAL_PHOTO_PENDING: verified CoreX project in Edmondson Park]]
1372,concreters-narellan,suburb,draft,1166,1,24,1142,2.1,3,[[REAL_PHOTO_PENDING: verified CoreX project in Narellan]] [[REAL_PHOTO_PENDING: verified CoreX project in Narellan]] [[REAL_PHOTO_PENDING: verified CoreX project in Narellan]]
1377,concreters-spring-farm,suburb,draft,1306,1,27,1279,2.1,3,[[REAL_PHOTO_PENDING: verified CoreX project in Spring Farm]] [[REAL_PHOTO_PENDING: verified CoreX project in Spring Farm]] [[REAL_PHOTO_PENDING: verified CoreX project in Spring Farm]]
1370,concreters-gledswood-hills,suburb,publish,1329,1,27,1302,2.0,3,[[REAL_PHOTO_PENDING: verified CoreX project in Gledswood Hills]] [[REAL_PHOTO_PENDING: verified CoreX project in Gledswood Hills]] [[REAL_PHOTO_PENDING: verified CoreX project in Gledswood Hills]]
1126,concreters-harrington-park,suburb,publish,1374,1,27,1347,2.0,3,[[REAL_PHOTO_PENDING: verified CoreX project in Harrington Park]] [[REAL_PHOTO_PENDING: verified CoreX project in Harrington Park]] [[REAL_PHOTO_PENDING: verified CoreX project in Harrington Park]]
1379,concreters-cobbitty,suburb,draft,1194,1,24,1170,2.0,3,[[REAL_PHOTO_PENDING: verified CoreX project in Cobbitty]] [[REAL_PHOTO_PENDING: verified CoreX project in Cobbitty]] [[REAL_PHOTO_PENDING: verified CoreX project in Cobbitty]]
221,concreters-leppington,suburb,publish,1232,1,24,1208,1.9,3,[[REAL_PHOTO_PENDING: verified CoreX project in Leppington]] [[REAL_PHOTO_PENDING: verified CoreX project in Leppington]] [[REAL_PHOTO_PENDING: verified CoreX project in Leppington]]
1163,concreters-austral,suburb,publish,1249,1,24,1225,1.9,3,[[REAL_PHOTO_PENDING: verified CoreX project in Austral]] [[REAL_PHOTO_PENDING: verified CoreX project in Austral]] [[REAL_PHOTO_PENDING: verified CoreX project in Austral]]
1388,concreters-bringelly,suburb,draft,1242,1,24,1218,1.9,3,[[REAL_PHOTO_PENDING: verified CoreX project in Bringelly]] [[REAL_PHOTO_PENDING: verified CoreX project in Bringelly]] [[REAL_PHOTO_PENDING: verified CoreX project in Bringelly]]
474,concreters-oran-park,suburb,publish,1881,1,9,1872,0.5,3,[[REAL_PHOTO_PENDING]] [[REAL_PHOTO_PENDING]] [[REAL_PHOTO_PENDING]]
