file,term,context,classification
build/21-spec-ledger.json,E&T Co,"ort"" ], ""trading_name_conflict"": { ""elementor_kit_site_name"": ""E&T Co Concreters Camden"", ""copy_uses"": ""CoreX Concreters Camden"", ""corex_occurrence",our-own-reporting-of-the-issue
build/21-spec-ledger.json,E&T Co,": 6, ""note"": ""Two trading names in one artifact, neither verified. E&T Co is the source Melbourne business."", ""classification"": ""residual footprint, harde",our-own-reporting-of-the-issue
build/21-spec-ledger.json,E&T,"ort"" ], ""trading_name_conflict"": { ""elementor_kit_site_name"": ""E&T Co Concreters Camden"", ""copy_uses"": ""CoreX Concreters Camden"", ""corex_occurrence",our-own-reporting-of-the-issue
build/21-spec-ledger.json,E&T,": 6, ""note"": ""Two trading names in one artifact, neither verified. E&T Co is the source Melbourne business."", ""classification"": ""residual footprint, harde",our-own-reporting-of-the-issue
build/global-replace.json,E&T Co,"m.au"", ""replace"": ""concreterscamden.com.au"" }, { ""find"": ""E&T Co Concreters Melbourne"", ""replace"": ""[[BRAND_NAME]]"" }, { ""find"": ""E&T Co",BRAND LEAKAGE - name in data
build/global-replace.json,E&T Co,"ers Melbourne"", ""replace"": ""[[BRAND_NAME]]"" }, { ""find"": ""E&T Co"", ""replace"": ""[[BRAND_NAME]]"" }, { ""find"": ""03 4427 9541"", ""replace",BRAND LEAKAGE - name in data
build/global-replace.json,E&T,"m.au"", ""replace"": ""concreterscamden.com.au"" }, { ""find"": ""E&T Co Concreters Melbourne"", ""replace"": ""[[BRAND_NAME]]"" }, { ""find"": ""E&T Co",BRAND LEAKAGE - name in data
build/global-replace.json,E&T,"ers Melbourne"", ""replace"": ""[[BRAND_NAME]]"" }, { ""find"": ""E&T Co"", ""replace"": ""[[BRAND_NAME]]"" }, { ""find"": ""03 4427 9541"", ""replace",BRAND LEAKAGE - name in data
build/stage5-core-pages.json,e_t_co,""": ""https://bestconcretersmelbourne.com.au/wp-content/uploads/2026/07/e_t_co_concreters_favicon_512_symbol_only.png"", ""alt"": """",",BRAND LEAKAGE - filename
build/stage5-core-pages.json,e_t_co,""": ""https://bestconcretersmelbourne.com.au/wp-content/uploads/2026/07/e_t_co_concreters_favicon_512_symbol_only.png"", ""alt"": """",",BRAND LEAKAGE - filename
build/stage5-core-pages.json,e_t_co,""": ""https://bestconcretersmelbourne.com.au/wp-content/uploads/2026/07/e_t_co_concreters_favicon_512_symbol_only.png"", ""alt"": """",",BRAND LEAKAGE - filename
build/stage5-core-pages.json,e_t_co,""": ""https://bestconcretersmelbourne.com.au/wp-content/uploads/2026/07/e_t_co_concreters_favicon_512_symbol_only.png"", ""alt"": """",",BRAND LEAKAGE - filename
build/stage5-core-pages.json,e_t_co,""": ""https://bestconcretersmelbourne.com.au/wp-content/uploads/2026/07/e_t_co_concreters_favicon_512_symbol_only.png"", ""alt"": """",",BRAND LEAKAGE - filename
build/stage5-core-pages.json,e_t_co,"s://bestconcretersmelbourne.com.au/wp-content/uploads/2026/07/cropped-e_t_co_concreters_favicon_512_symbol_only.png"", ""alt"": """",",BRAND LEAKAGE - filename
build/stage7-all-pages.json,e_t_co,""": ""https://bestconcretersmelbourne.com.au/wp-content/uploads/2026/07/e_t_co_concreters_favicon_512_symbol_only.png"", ""alt"": """",",BRAND LEAKAGE - filename
build/stage7-all-pages.json,e_t_co,""": ""https://bestconcretersmelbourne.com.au/wp-content/uploads/2026/07/e_t_co_concreters_favicon_512_symbol_only.png"", ""alt"": """",",BRAND LEAKAGE - filename
build/stage7-all-pages.json,e_t_co,""": ""https://bestconcretersmelbourne.com.au/wp-content/uploads/2026/07/e_t_co_concreters_favicon_512_symbol_only.png"", ""alt"": """",",BRAND LEAKAGE - filename
build/stage7-all-pages.json,e_t_co,""": ""https://bestconcretersmelbourne.com.au/wp-content/uploads/2026/07/e_t_co_concreters_favicon_512_symbol_only.png"", ""alt"": """",",BRAND LEAKAGE - filename
build/stage7-all-pages.json,e_t_co,""": ""https://bestconcretersmelbourne.com.au/wp-content/uploads/2026/07/e_t_co_concreters_favicon_512_symbol_only.png"", ""alt"": """",",BRAND LEAKAGE - filename
build/stage7-all-pages.json,e_t_co,"s://bestconcretersmelbourne.com.au/wp-content/uploads/2026/07/cropped-e_t_co_concreters_favicon_512_symbol_only.png"", ""alt"": """",",BRAND LEAKAGE - filename
build/stage7-all-pages.json,e_t_co,""": ""https://bestconcretersmelbourne.com.au/wp-content/uploads/2026/07/e_t_co_concreters_favicon_512_symbol_only.png"", ""alt"": """",",BRAND LEAKAGE - filename
build/stage7-all-pages.json,e_t_co,"s://bestconcretersmelbourne.com.au/wp-content/uploads/2026/07/cropped-e_t_co_concreters_favicon_512_symbol_only.png"", ""alt"": """",",BRAND LEAKAGE - filename
build/stage7-all-pages.json,e_t_co,""": ""https://bestconcretersmelbourne.com.au/wp-content/uploads/2026/07/e_t_co_concreters_favicon_512_symbol_only.png"", ""alt"": """",",BRAND LEAKAGE - filename
build/stage7-all-pages.json,e_t_co,""": ""https://bestconcretersmelbourne.com.au/wp-content/uploads/2026/07/e_t_co_concreters_favicon_512_symbol_only.png"", ""alt"": """",",BRAND LEAKAGE - filename
build/stage7-intersection-pages.json,e_t_co,""": ""https://bestconcretersmelbourne.com.au/wp-content/uploads/2026/07/e_t_co_concreters_favicon_512_symbol_only.png"", ""alt"": """",",BRAND LEAKAGE - filename
build/stage7-intersection-pages.json,e_t_co,"s://bestconcretersmelbourne.com.au/wp-content/uploads/2026/07/cropped-e_t_co_concreters_favicon_512_symbol_only.png"", ""alt"": """",",BRAND LEAKAGE - filename
build/stage7-intersection-pages.json,e_t_co,""": ""https://bestconcretersmelbourne.com.au/wp-content/uploads/2026/07/e_t_co_concreters_favicon_512_symbol_only.png"", ""alt"": """",",BRAND LEAKAGE - filename
build/stage7-intersection-pages.json,e_t_co,""": ""https://bestconcretersmelbourne.com.au/wp-content/uploads/2026/07/e_t_co_concreters_favicon_512_symbol_only.png"", ""alt"": """",",BRAND LEAKAGE - filename
build/stage8-image-map.json,E&T CO,"_filename"": ""ChatGPT-Image-Jul-6-2026-01_52_19-PM.png"", ""title"": ""E&T CO Concreters Logo"", ""new_filename"": ""chatgpt-image-jul-6-2026-01-52-19-pm-camden-",BRAND LEAKAGE - name in data
build/stage8-image-map.json,E&T Co,"e"": ""cropped-ChatGPT-Image-Jul-6-2026-07_59_41-PM.png"", ""title"": ""E&T Co Concreters Melbourne"", ""new_filename"": ""cropped-chatgpt-image-jul-6-2026-07-59-",BRAND LEAKAGE - name in data
build/stage8-image-map.json,E&T CO,"e"": ""cropped-ChatGPT-Image-Jul-6-2026-01_52_19-PM.png"", ""title"": ""E&T CO Concreters Logo"", ""new_filename"": ""cropped-chatgpt-image-jul-6-2026-01-52-19-pm",BRAND LEAKAGE - name in data
build/stage8-image-map.json,E&T,"_filename"": ""ChatGPT-Image-Jul-6-2026-01_52_19-PM.png"", ""title"": ""E&T CO Concreters Logo"", ""new_filename"": ""chatgpt-image-jul-6-2026-01-52-19-pm-camden-",BRAND LEAKAGE - name in data
build/stage8-image-map.json,E&T,"e"": ""cropped-ChatGPT-Image-Jul-6-2026-07_59_41-PM.png"", ""title"": ""E&T Co Concreters Melbourne"", ""new_filename"": ""cropped-chatgpt-image-jul-6-2026-07-59-",BRAND LEAKAGE - name in data
build/stage8-image-map.json,E&T,"e"": ""cropped-ChatGPT-Image-Jul-6-2026-01_52_19-PM.png"", ""title"": ""E&T CO Concreters Logo"", ""new_filename"": ""cropped-chatgpt-image-jul-6-2026-01-52-19-pm",BRAND LEAKAGE - name in data
build/stage8-image-map.json,e_t_co,""": ""https://bestconcretersmelbourne.com.au/wp-content/uploads/2026/07/e_t_co_concreters_favicon_512_symbol_only.png"", ""old_file"": ""2026/07/e_t_co_concreters",BRAND LEAKAGE - filename
build/stage8-image-map.json,e_t_co,"_co_concreters_favicon_512_symbol_only.png"", ""old_file"": ""2026/07/e_t_co_concreters_favicon_512_symbol_only.png"", ""old_filename"": ""e_t_co_concreters_fav",BRAND LEAKAGE - filename
