attachment_id,filename,post_id,slug,page_title,status,widget_id,widget_type,local_work_card,current_alt,same_widget_visible_text,nearest_context_id,nearest_context_type,nearest_context_visible_text,customer_name_quote_job_fields,rating_fields,local_work_marker
46,concrete-tesimonial-4-camden-46.webp,12,homepage,Concreters Camden,publish,0c5d989,image-box,no,Concrete tesimonial 4 camden in the context of Concreters Camden,"[[""title_text"",""Paths & Pathways""],[""description_text"",""Footpaths, side access, garden paths""]]",6b2cdf8,container,"[[""elements[0].settings.title_text"",""Paths & Pathways""],[""elements[0].settings.description_text"",""Footpaths, side access, garden paths""],[""elements[1].settings.title_text"",""Patios & Alfresco""],[""elements[1].settings.description_text"",""Outdoor entertaining areas""],[""elements[2].settings.title_text"",""Coloured & Decorative""],[""elements[2].settings.description_text"",""Coloured, stencil, honed finishes""]]",[],[],
46,concrete-tesimonial-4-camden-46.webp,12,homepage,Concreters Camden,publish,da41d16,image-box,no,Concrete tesimonial 4 camden in the context of Concreters Camden,"[[""title_text"",""Coloured & Decorative""],[""description_text"",""Coloured, stencil, honed finishes""]]",6b2cdf8,container,"[[""elements[0].settings.title_text"",""Paths & Pathways""],[""elements[0].settings.description_text"",""Footpaths, side access, garden paths""],[""elements[1].settings.title_text"",""Patios & Alfresco""],[""elements[1].settings.description_text"",""Outdoor entertaining areas""],[""elements[2].settings.title_text"",""Coloured & Decorative""],[""elements[2].settings.description_text"",""Coloured, stencil, honed finishes""]]",[],[],
46,concrete-tesimonial-4-camden-46.webp,969,concreters-gregory-hills,Concreters Gregory Hills,publish,e5f56c0,image,yes,Concrete tesimonial 4 camden in the context of Concreters Gregory Hills,[],0b6535c,e-div-block,"[[""elements[1].settings.editor"",""[[REAL_PHOTO_PENDING: verified CoreX project in Gregory Hills]]""]]",[],[],[[REAL_PHOTO_PENDING: verified CoreX project in Gregory Hills]]
46,concrete-tesimonial-4-camden-46.webp,1371,concreters-catherine-field,Concreters Catherine Field,draft,af91c52,image-box,no,Concrete tesimonial 4 camden in the context of Concreters Catherine Field,"[[""title_text"",""Patios & Alfresco""],[""description_text"",""Outdoor entertaining areas""]]",98fbeea,container,"[[""elements[0].settings.title_text"",""Patios & Alfresco""],[""elements[0].settings.description_text"",""Outdoor entertaining areas""],[""elements[1].settings.title_text"",""Paths & Pathways""],[""elements[1].settings.description_text"",""Side access, garden and front paths""],[""elements[2].settings.title_text"",""Coloured & Decorative""],[""elements[2].settings.description_text"",""Coloured, stencil, honed finishes""]]",[],[],
46,concrete-tesimonial-4-camden-46.webp,1371,concreters-catherine-field,Concreters Catherine Field,draft,d06ebf3,image-box,no,Concrete tesimonial 4 camden in the context of Concreters Catherine Field,"[[""title_text"",""Coloured & Decorative""],[""description_text"",""Coloured, stencil, honed finishes""]]",98fbeea,container,"[[""elements[0].settings.title_text"",""Patios & Alfresco""],[""elements[0].settings.description_text"",""Outdoor entertaining areas""],[""elements[1].settings.title_text"",""Paths & Pathways""],[""elements[1].settings.description_text"",""Side access, garden and front paths""],[""elements[2].settings.title_text"",""Coloured & Decorative""],[""elements[2].settings.description_text"",""Coloured, stencil, honed finishes""]]",[],[],
46,concrete-tesimonial-4-camden-46.webp,1387,concreters-edmondson-park,Concreters Edmondson Park,draft,0ca264b,image,no,Concrete tesimonial 4 camden in the context of Concreters Edmondson Park,[],b5b5a5c,container,"[[""elements[0].elements[0].settings.title.value.content.value"",""Levels and water movement in Edmondson Park""],[""elements[0].elements[1].settings.editor"",""Finished levels in Edmondson Park are set from the actual thresholds, boundaries and lawful discharge point observed on the lot. The ground record for Edmondson Park is considered when falls and joints are documented, because the recorded condition is Clay over shale on engineered fill. Tight access means barrow, kibble or line pump on most jobs — factor it into the quote rather than discovering it on the day. Reinforcement holds concrete together after movement; it does not remove the need for planned joints, support and drainage in Edmondson Park. Edmondson Park separates its concrete driveways evidence from the general Edmondson Park brief; Concrete Driveways in Edmondson Park carries that service decision.""]]",[],[],
46,concrete-tesimonial-4-camden-46.webp,1398,concreters-prestons,Concreters Prestons,draft,e6c2ed7,image-box,no,Concrete tesimonial 4 camden in the context of Concreters Prestons,"[[""title_text"",""Paths & Pathways""],[""description_text"",""Side access, garden and front paths""]]",98fbeea,container,"[[""elements[0].settings.title_text"",""Patios & Alfresco""],[""elements[0].settings.description_text"",""Outdoor entertaining areas""],[""elements[1].settings.title_text"",""Paths & Pathways""],[""elements[1].settings.description_text"",""Side access, garden and front paths""],[""elements[2].settings.title_text"",""Coloured & Decorative""],[""elements[2].settings.description_text"",""Coloured, stencil, honed finishes""]]",[],[],
46,concrete-tesimonial-4-camden-46.webp,1422,concreters-menangle,Concreters Menangle,draft,a86c195,image-box,no,Concrete tesimonial 4 camden in the context of Concreters Menangle,"[[""title_text"",""Concrete Driveways""],[""description_text"",""New driveways, replacements, council crossovers""]]",9e36728,container,"[[""elements[0].settings.title_text"",""Concrete Driveways""],[""elements[0].settings.description_text"",""New driveways, replacements, council crossovers""],[""elements[1].settings.title_text"",""Concrete Slabs""],[""elements[1].settings.description_text"",""Shed, garage, extension and house slabs, based properly""],[""elements[2].settings.title_text"",""Exposed Aggregate""],[""elements[2].settings.description_text"",""The premium textured, non-slip finish with real kerb appeal""]]",[],[],
46,concrete-tesimonial-4-camden-46.webp,1439,exposed-aggregate-cost,Exposed Aggregate Cost,draft,c8fd6c0,image,no,Concrete tesimonial 4 camden in the context of Exposed Aggregate Cost,[],39e500e,container,"[[""elements[0].elements[0].settings.title.value.content.value"",""What must be verified for Exposed Aggregate Cost""],[""elements[0].elements[1].settings.editor"",""exposed-aggregate-cost-guide tests source authority; exposed-aggregate-cost-guide preserves attribution. exposed-aggregate-cost-guide tracks the council; exposed-aggregate-cost-guide identifies the record owner. exposed-aggregate-cost-guide notes engineer manufacturer; exposed-aggregate-cost-guide keeps the basis explicit. exposed-aggregate-cost-guide documents or operator; exposed-aggregate-cost-guide leaves an audit trail. exposed-aggregate-cost-guide tests record supporting; exposed-aggregate-cost-guide links the supporting record. exposed-aggregate-cost-guide measures the statement; exposed-aggregate-cost-guide carries the source date. exposed-aggregate-cost-guide maps unresolved source authority; exposed-aggregate-cost-guide keeps it open.""]]",[],[],
46,concrete-tesimonial-4-camden-46.webp,1441,shed-slab-cost,Shed Slab Cost,draft,c8fd6c0,image,no,Concrete tesimonial 4 camden in the context of Shed Slab Cost,[],39e500e,container,"[[""elements[0].elements[0].settings.title.value.content.value"",""What must be verified for Shed Slab Cost""],[""elements[0].elements[1].settings.editor"",""shed-slab-cost-guide maps source authority; shed-slab-cost-guide leaves an audit trail. shed-slab-cost-guide names the council; shed-slab-cost-guide stores the reference. shed-slab-cost-guide attributes engineer manufacturer; shed-slab-cost-guide flags the authority. shed-slab-cost-guide states or operator; shed-slab-cost-guide preserves attribution. shed-slab-cost-guide maps record supporting; shed-slab-cost-guide holds the citation. shed-slab-cost-guide records the statement; shed-slab-cost-guide keeps provenance visible. shed-slab-cost-guide verifies unresolved source authority; shed-slab-cost-guide keeps it open.""]]",[],[],
