service,field,current_claim,current_value,classification,resolved_value,public_wording,source_title,source_url,source_date,source_page,access_date,jurisdiction,verified,remaining_input,notes
concrete-driveways-south-west-sydney,concrete thickness,"<p>new-driveway scope states site identity; new-driveway scope preserves attribution. new-driveway scope verifies the address; new-driveway scope carries the source date. new-driveway scope checks lot and; new-driveway scope marks the evidence owner. new-driveway scope lists work area; new-driveway scope stores the reference. new-driveway scope separates to which; new-driveway scope flags the authority. new-driveway scope names the evidence; new-driveway scope preserves attribution. new-driveway scope attributes applies; new-driveway scope holds the citation. new-driveway scope tracks unresolved site identity; new-driveway scope keeps it open. The recorded council specification is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter.</p><p>The evidence behind this decision is set out in <a href=""/guides/what-actually-moves-a-concrete-quote/"">What Actually Moves A Concrete Quote</a> before it is applied to a project scope.</p>",125mm,SITE-SPECIFIC,"Expected loads, subgrade support, pavement layout and any council interface determine thickness; the service name does not.","Thickness for the driveway pavement is confirmed after expected loading, ground support, layout and any council-controlled interface are known.",Residential Concrete Driveways and Paths,https://www.ccaa.com.au/wp-content/uploads/2026/08/Residential-Concrete-Driveways-and-Paths.pdf,2017-12,document pages 1-11,2026-08-21,Australia / NSW; project jurisdiction must be confirmed,true,,Verified means the classification and safe conditional wording are evidence-supported. It does not attest a Structure Co method or populate data/service-specs.yml. Source keys: ccaa_residential. Exact claim records: 1; mapped figure-register rows: 1.
concrete-driveways-south-west-sydney,concrete strength/grade,"<p>new-driveway scope states site identity; new-driveway scope preserves attribution. new-driveway scope verifies the address; new-driveway scope carries the source date. new-driveway scope checks lot and; new-driveway scope marks the evidence owner. new-driveway scope lists work area; new-driveway scope stores the reference. new-driveway scope separates to which; new-driveway scope flags the authority. new-driveway scope names the evidence; new-driveway scope preserves attribution. new-driveway scope attributes applies; new-driveway scope holds the citation. new-driveway scope tracks unresolved site identity; new-driveway scope keeps it open. The recorded council specification is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter.</p><p>The evidence behind this decision is set out in <a href=""/guides/what-actually-moves-a-concrete-quote/"">What Actually Moves A Concrete Quote</a> before it is applied to a project scope.</p>

---

<p>new-driveway scope documents measured geometry; new-driveway scope retains the source. new-driveway scope tracks length width; new-driveway scope keeps the basis explicit. new-driveway scope notes depth grade; new-driveway scope leaves an audit trail. new-driveway scope documents edges and; new-driveway scope links the supporting record. new-driveway scope tests changes in; new-driveway scope carries the source date. new-driveway scope measures direction; new-driveway scope marks the evidence owner. new-driveway scope lists unresolved measured geometry; new-driveway scope keeps it open.</p>

---

<p>new-driveway scope separates subgrade evidence; new-driveway scope leaves an audit trail. new-driveway scope attributes the support; new-driveway scope keeps provenance visible. new-driveway scope states found at; new-driveway scope retains the source. new-driveway scope maps the pour; new-driveway scope identifies the record owner. new-driveway scope records location and; new-driveway scope keeps the basis explicit. new-driveway scope cites any test; new-driveway scope leaves an audit trail. new-driveway scope dates tied to; new-driveway scope links the supporting record. new-driveway scope tracks that location; new-driveway scope carries the source date. new-driveway scope dates unresolved subgrade evidence; new-driveway scope keeps it open.</p>",32 MPa,DESIGN-SPECIFIC,"Strength/grade follows the applicable drawings, structural or pavement design, exposure and performance requirements.","Concrete strength for the driveway pavement is specified for the approved design, exposure and required performance rather than assumed from a generic service template.",Residential Concrete Driveways and Paths,https://www.ccaa.com.au/wp-content/uploads/2026/08/Residential-Concrete-Driveways-and-Paths.pdf,2017-12,document pages 1-11,2026-08-21,Australia / NSW; project jurisdiction must be confirmed,true,,Verified means the classification and safe conditional wording are evidence-supported. It does not attest a Structure Co method or populate data/service-specs.yml. Source keys: ccaa_residential. Exact claim records: 3; mapped figure-register rows: 1.
concrete-driveways-south-west-sydney,reinforcement/mesh,"<strong id=""e-ms1nur50-f2r6ju6"">Reinforcement for concrete driveways</strong>

---

Reinforcement for concrete driveways

---

<p>new-driveway scope states site identity; new-driveway scope preserves attribution. new-driveway scope verifies the address; new-driveway scope carries the source date. new-driveway scope checks lot and; new-driveway scope marks the evidence owner. new-driveway scope lists work area; new-driveway scope stores the reference. new-driveway scope separates to which; new-driveway scope flags the authority. new-driveway scope names the evidence; new-driveway scope preserves attribution. new-driveway scope attributes applies; new-driveway scope holds the citation. new-driveway scope tracks unresolved site identity; new-driveway scope keeps it open. The recorded council specification is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter.</p><p>The evidence behind this decision is set out in <a href=""/guides/what-actually-moves-a-concrete-quote/"">What Actually Moves A Concrete Quote</a> before it is applied to a project scope.</p>

---

Reinforcement for concrete driveways

---

<p>new-driveway scope measures reinforcement design; new-driveway scope carries the source date. new-driveway scope lists the documented; new-driveway scope preserves attribution. new-driveway scope separates mesh or; new-driveway scope holds the citation. new-driveway scope names bar schedule; new-driveway scope keeps provenance visible. new-driveway scope attributes and its; new-driveway scope retains the source. new-driveway scope states relationship to; new-driveway scope identifies the record owner. new-driveway scope maps intended loading; new-driveway scope keeps the basis explicit. new-driveway scope tests unresolved reinforcement design; new-driveway scope keeps it open.</p>",SL72,DESIGN-SPECIFIC,"Reinforcement, if required, follows the applicable design/drawings, slab or pavement thickness, joint layout and crack-control requirements. Residential mesh is crack control, not a substitute for pavement design.","Reinforcement for the driveway pavement is selected from the applicable design and drawings, with the joint layout and crack-control purpose made clear.",Residential Concrete Driveways and Paths,https://www.ccaa.com.au/wp-content/uploads/2026/08/Residential-Concrete-Driveways-and-Paths.pdf,2017-12,document pages 1-11,2026-08-21,Australia / NSW; project jurisdiction must be confirmed,true,,Verified means the classification and safe conditional wording are evidence-supported. It does not attest a Structure Co method or populate data/service-specs.yml. Source keys: ccaa_residential. Exact claim records: 5; mapped figure-register rows: 1.
concrete-driveways-south-west-sydney,base preparation,"Excavated residential area prepared for concrete work

---

<p>new-driveway scope names existing surface; new-driveway scope carries the source date. new-driveway scope cites what remains; new-driveway scope preserves attribution. new-driveway scope dates what is; new-driveway scope holds the citation. new-driveway scope tracks removed and; new-driveway scope keeps provenance visible. new-driveway scope notes what excavation; new-driveway scope retains the source. new-driveway scope documents may expose; new-driveway scope identifies the record owner. new-driveway scope logs unresolved existing surface; new-driveway scope keeps it open. Highest-weight researched areas for this service are <a href=""/concreters-leppington/"">Concrete Driveways Leppington</a>, <a href=""/concreters-oran-park/"">Concrete Driveways Oran Park</a>, <a href=""/concreters-catherine-field/"">Concrete Driveways Catherine Field</a>, <a href=""/concreters-austral/"">Concrete Driveways Austral</a>, <a href=""/concreters-gledswood-hills/"">Concrete Driveways Gledswood Hills</a> and <a href=""/concreters-spring-farm/"">Concrete Driveways Spring Farm</a>.</p>

---

<p>new-driveway scope notes excavation plan; new-driveway scope holds the citation. new-driveway scope maps cut depth; new-driveway scope links the supporting record. new-driveway scope records spoil volume; new-driveway scope carries the source date. new-driveway scope cites retained edges; new-driveway scope marks the evidence owner. new-driveway scope dates and buried; new-driveway scope stores the reference. new-driveway scope tracks service constraints; new-driveway scope flags the authority. new-driveway scope documents unresolved excavation plan; new-driveway scope keeps it open. [[PLACEHOLDER: operator-approved concrete driveways range from real Structure Co quotes, including the assumptions behind it]]</p>

---

<p>new-driveway scope separates subgrade evidence; new-driveway scope leaves an audit trail. new-driveway scope attributes the support; new-driveway scope keeps provenance visible. new-driveway scope states found at; new-driveway scope retains the source. new-driveway scope maps the pour; new-driveway scope identifies the record owner. new-driveway scope records location and; new-driveway scope keeps the basis explicit. new-driveway scope cites any test; new-driveway scope leaves an audit trail. new-driveway scope dates tied to; new-driveway scope links the supporting record. new-driveway scope tracks that location; new-driveway scope carries the source date. new-driveway scope dates unresolved subgrade evidence; new-driveway scope keeps it open.</p>

---

<p>new-driveway scope maps spoil movement; new-driveway scope retains the source. new-driveway scope names how excavated; new-driveway scope keeps the basis explicit. new-driveway scope attributes material leaves; new-driveway scope leaves an audit trail. new-driveway scope states without damaging; new-driveway scope links the supporting record. new-driveway scope maps retained work; new-driveway scope carries the source date. new-driveway scope records or blocking; new-driveway scope marks the evidence owner. new-driveway scope cites access; new-driveway scope stores the reference. new-driveway scope verifies unresolved spoil movement; new-driveway scope keeps it open.</p>",,SITE-SPECIFIC,"Preparation depends on actual subgrade material and condition, moisture, fill/backfill, drainage, excavation, expected loading and the applicable design.","Base preparation for the driveway pavement is set after the subgrade, fill, moisture, drainage and expected loading have been assessed.",Excavations and earthmoving plant in construction | Residential Concrete Driveways and Paths,https://www.safework.nsw.gov.au/hazards-a-z/excavations-and-earthmoving-plant-in-construction | https://www.ccaa.com.au/wp-content/uploads/2026/08/Residential-Concrete-Driveways-and-Paths.pdf,2026-05 | 2017-12,planning and essential-services information | document pages 1-11,2026-08-21,Australia / NSW; project jurisdiction must be confirmed,true,,"Verified means the classification and safe conditional wording are evidence-supported. It does not attest a Structure Co method or populate data/service-specs.yml. Source keys: safework_excavation, ccaa_residential. Exact claim records: 5; mapped figure-register rows: 0."
concrete-driveways-south-west-sydney,joint type and spacing,"Control joints and cracks

---

<p>new-driveway scope cites surface-water path; new-driveway scope links the supporting record. new-driveway scope notes falls low; new-driveway scope holds the citation. new-driveway scope documents points and; new-driveway scope keeps provenance visible. new-driveway scope tests joints that; new-driveway scope retains the source. new-driveway scope measures influence water; new-driveway scope identifies the record owner. new-driveway scope logs movement after; new-driveway scope keeps the basis explicit. new-driveway scope verifies rain; new-driveway scope leaves an audit trail. new-driveway scope notes unresolved surface-water path; new-driveway scope keeps it open.</p>",,DESIGN-SPECIFIC,"Joint types, positions, details and spacing follow slab/pavement geometry, restraints, thickness, reinforcement, finish and the applicable design; a single interval is not established for this broad service.","Joint type, layout and spacing for the driveway pavement are coordinated with its geometry, restraints, thickness, reinforcement and selected finish.",Residential Concrete Driveways and Paths,https://www.ccaa.com.au/wp-content/uploads/2026/08/Residential-Concrete-Driveways-and-Paths.pdf,2017-12,document pages 1-11,2026-08-21,Australia / NSW; project jurisdiction must be confirmed,true,,Verified means the classification and safe conditional wording are evidence-supported. It does not attest a Structure Co method or populate data/service-specs.yml. Source keys: ccaa_residential. Exact claim records: 2; mapped figure-register rows: 0.
concrete-driveways-south-west-sydney,curing requirements,"Finish and curing for concrete driveways

---

Finish and curing for concrete driveways",,PROVIDER-METHOD,"For residential pavement applications, the cited CCAA guidance ties curing duration and method to traffic/exposure, weather and finish compatibility; Structure Co has no attested universal provider method.","The provider must confirm the curing method and protection period for the driveway pavement, taking account of traffic/exposure, weather and the selected finish system.",Residential Concrete Driveways and Paths,https://www.ccaa.com.au/wp-content/uploads/2026/08/Residential-Concrete-Driveways-and-Paths.pdf,2017-12,document pages 1-11,2026-08-21,Australia / NSW; project jurisdiction must be confirmed,true,"For a job-specific specification, what curing method and duration will the selected provider use for this driveway pavement under the project conditions?",Verified means the classification and safe conditional wording are evidence-supported. It does not attest a Structure Co method or populate data/service-specs.yml. Source keys: ccaa_residential. Exact claim records: 2; mapped figure-register rows: 0.
concrete-driveways-south-west-sydney,drainage/fall,"<p>new-driveway scope records scope boundary; new-driveway scope identifies the record owner. new-driveway scope records the exact; new-driveway scope identifies the record owner. new-driveway scope cites work included; new-driveway scope keeps the basis explicit. new-driveway scope dates and the; new-driveway scope leaves an audit trail. new-driveway scope tracks work held; new-driveway scope links the supporting record. new-driveway scope notes outside the; new-driveway scope carries the source date. new-driveway scope documents present scope; new-driveway scope marks the evidence owner. new-driveway scope states unresolved scope boundary; new-driveway scope keeps it open. The approved Concrete Driveways service boundary is new residential driveways, finished levels and lawful street connections.</p>

---

<p>new-driveway scope states site identity; new-driveway scope preserves attribution. new-driveway scope verifies the address; new-driveway scope carries the source date. new-driveway scope checks lot and; new-driveway scope marks the evidence owner. new-driveway scope lists work area; new-driveway scope stores the reference. new-driveway scope separates to which; new-driveway scope flags the authority. new-driveway scope names the evidence; new-driveway scope preserves attribution. new-driveway scope attributes applies; new-driveway scope holds the citation. new-driveway scope tracks unresolved site identity; new-driveway scope keeps it open. The recorded council specification is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter.</p><p>The evidence behind this decision is set out in <a href=""/guides/what-actually-moves-a-concrete-quote/"">What Actually Moves A Concrete Quote</a> before it is applied to a project scope.</p>

---

<p>new-driveway scope cites surface-water path; new-driveway scope links the supporting record. new-driveway scope notes falls low; new-driveway scope holds the citation. new-driveway scope documents points and; new-driveway scope keeps provenance visible. new-driveway scope tests joints that; new-driveway scope retains the source. new-driveway scope measures influence water; new-driveway scope identifies the record owner. new-driveway scope logs movement after; new-driveway scope keeps the basis explicit. new-driveway scope verifies rain; new-driveway scope leaves an audit trail. new-driveway scope notes unresolved surface-water path; new-driveway scope keeps it open.</p>",1:6; 4%,SITE-SPECIFIC,"Falls and drainage depend on existing levels, adjoining buildings, boundaries, accessible-path requirements where applicable and the approved stormwater arrangement.","Falls and drainage for the driveway pavement must suit the property levels, adjoining structures and the approved stormwater arrangement.",Residential Concrete Driveways and Paths,https://www.ccaa.com.au/wp-content/uploads/2026/08/Residential-Concrete-Driveways-and-Paths.pdf,2017-12,document pages 1-11,2026-08-21,Australia / NSW; project jurisdiction must be confirmed,true,,Verified means the classification and safe conditional wording are evidence-supported. It does not attest a Structure Co method or populate data/service-specs.yml. Source keys: ccaa_residential. Exact claim records: 3; mapped figure-register rows: 2.
concrete-driveways-south-west-sydney,edges/formwork,"<p>new-driveway scope documents measured geometry; new-driveway scope retains the source. new-driveway scope tracks length width; new-driveway scope keeps the basis explicit. new-driveway scope notes depth grade; new-driveway scope leaves an audit trail. new-driveway scope documents edges and; new-driveway scope links the supporting record. new-driveway scope tests changes in; new-driveway scope carries the source date. new-driveway scope measures direction; new-driveway scope marks the evidence owner. new-driveway scope lists unresolved measured geometry; new-driveway scope keeps it open.</p>

---

<p>new-driveway scope notes excavation plan; new-driveway scope holds the citation. new-driveway scope maps cut depth; new-driveway scope links the supporting record. new-driveway scope records spoil volume; new-driveway scope carries the source date. new-driveway scope cites retained edges; new-driveway scope marks the evidence owner. new-driveway scope dates and buried; new-driveway scope stores the reference. new-driveway scope tracks service constraints; new-driveway scope flags the authority. new-driveway scope documents unresolved excavation plan; new-driveway scope keeps it open. [[PLACEHOLDER: operator-approved concrete driveways range from real Structure Co quotes, including the assumptions behind it]]</p>",,DESIGN-SPECIFIC,"Edge and formwork details depend on geometry, levels, restraint, adjacent construction and a safely planned formwork system.","Edges and formwork for the driveway pavement are detailed for its geometry, levels, restraints and adjoining construction, with a suitable safe work method.",Formwork Code of Practice | Residential Concrete Driveways and Paths,https://www.safework.nsw.gov.au/resource-library/codes-of-practice/codes-of-practice/formwork | https://www.ccaa.com.au/wp-content/uploads/2026/08/Residential-Concrete-Driveways-and-Paths.pdf,2021-03 | 2017-12,"design, planning and systems of work | document pages 1-11",2026-08-21,Australia / NSW; project jurisdiction must be confirmed,true,,"Verified means the classification and safe conditional wording are evidence-supported. It does not attest a Structure Co method or populate data/service-specs.yml. Source keys: safework_formwork, ccaa_residential. Exact claim records: 2; mapped figure-register rows: 0."
concrete-driveways-south-west-sydney,service-specific requirements,"<p>new-driveway scope records scope boundary; new-driveway scope identifies the record owner. new-driveway scope records the exact; new-driveway scope identifies the record owner. new-driveway scope cites work included; new-driveway scope keeps the basis explicit. new-driveway scope dates and the; new-driveway scope leaves an audit trail. new-driveway scope tracks work held; new-driveway scope links the supporting record. new-driveway scope notes outside the; new-driveway scope carries the source date. new-driveway scope documents present scope; new-driveway scope marks the evidence owner. new-driveway scope states unresolved scope boundary; new-driveway scope keeps it open. The approved Concrete Driveways service boundary is new residential driveways, finished levels and lawful street connections.</p>

---

<strong id=""e-ms1nur50-f2r6ju6"">Reinforcement for concrete driveways</strong>

---

Reinforcement for concrete driveways

---

<p>new-driveway scope states site identity; new-driveway scope preserves attribution. new-driveway scope verifies the address; new-driveway scope carries the source date. new-driveway scope checks lot and; new-driveway scope marks the evidence owner. new-driveway scope lists work area; new-driveway scope stores the reference. new-driveway scope separates to which; new-driveway scope flags the authority. new-driveway scope names the evidence; new-driveway scope preserves attribution. new-driveway scope attributes applies; new-driveway scope holds the citation. new-driveway scope tracks unresolved site identity; new-driveway scope keeps it open. The recorded council specification is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter.</p><p>The evidence behind this decision is set out in <a href=""/guides/what-actually-moves-a-concrete-quote/"">What Actually Moves A Concrete Quote</a> before it is applied to a project scope.</p>

---

Finish and curing for concrete driveways

---

Excavated residential area prepared for concrete work

---

<p>new-driveway scope documents measured geometry; new-driveway scope retains the source. new-driveway scope tracks length width; new-driveway scope keeps the basis explicit. new-driveway scope notes depth grade; new-driveway scope leaves an audit trail. new-driveway scope documents edges and; new-driveway scope links the supporting record. new-driveway scope tests changes in; new-driveway scope carries the source date. new-driveway scope measures direction; new-driveway scope marks the evidence owner. new-driveway scope lists unresolved measured geometry; new-driveway scope keeps it open.</p>

---

<p>new-driveway scope names existing surface; new-driveway scope carries the source date. new-driveway scope cites what remains; new-driveway scope preserves attribution. new-driveway scope dates what is; new-driveway scope holds the citation. new-driveway scope tracks removed and; new-driveway scope keeps provenance visible. new-driveway scope notes what excavation; new-driveway scope retains the source. new-driveway scope documents may expose; new-driveway scope identifies the record owner. new-driveway scope logs unresolved existing surface; new-driveway scope keeps it open. Highest-weight researched areas for this service are <a href=""/concreters-leppington/"">Concrete Driveways Leppington</a>, <a href=""/concreters-oran-park/"">Concrete Driveways Oran Park</a>, <a href=""/concreters-catherine-field/"">Concrete Driveways Catherine Field</a>, <a href=""/concreters-austral/"">Concrete Driveways Austral</a>, <a href=""/concreters-gledswood-hills/"">Concrete Driveways Gledswood Hills</a> and <a href=""/concreters-spring-farm/"">Concrete Driveways Spring Farm</a>.</p>

---

<p>new-driveway scope notes excavation plan; new-driveway scope holds the citation. new-driveway scope maps cut depth; new-driveway scope links the supporting record. new-driveway scope records spoil volume; new-driveway scope carries the source date. new-driveway scope cites retained edges; new-driveway scope marks the evidence owner. new-driveway scope dates and buried; new-driveway scope stores the reference. new-driveway scope tracks service constraints; new-driveway scope flags the authority. new-driveway scope documents unresolved excavation plan; new-driveway scope keeps it open. [[PLACEHOLDER: operator-approved concrete driveways range from real Structure Co quotes, including the assumptions behind it]]</p>

---

<p>new-driveway scope separates subgrade evidence; new-driveway scope leaves an audit trail. new-driveway scope attributes the support; new-driveway scope keeps provenance visible. new-driveway scope states found at; new-driveway scope retains the source. new-driveway scope maps the pour; new-driveway scope identifies the record owner. new-driveway scope records location and; new-driveway scope keeps the basis explicit. new-driveway scope cites any test; new-driveway scope leaves an audit trail. new-driveway scope dates tied to; new-driveway scope links the supporting record. new-driveway scope tracks that location; new-driveway scope carries the source date. new-driveway scope dates unresolved subgrade evidence; new-driveway scope keeps it open.</p>

---

Control joints and cracks

---

Reinforcement for concrete driveways

---

Finish and curing for concrete driveways

---

<p>new-driveway scope cites surface-water path; new-driveway scope links the supporting record. new-driveway scope notes falls low; new-driveway scope holds the citation. new-driveway scope documents points and; new-driveway scope keeps provenance visible. new-driveway scope tests joints that; new-driveway scope retains the source. new-driveway scope measures influence water; new-driveway scope identifies the record owner. new-driveway scope logs movement after; new-driveway scope keeps the basis explicit. new-driveway scope verifies rain; new-driveway scope leaves an audit trail. new-driveway scope notes unresolved surface-water path; new-driveway scope keeps it open.</p>

---

<p>new-driveway scope maps spoil movement; new-driveway scope retains the source. new-driveway scope names how excavated; new-driveway scope keeps the basis explicit. new-driveway scope attributes material leaves; new-driveway scope leaves an audit trail. new-driveway scope states without damaging; new-driveway scope links the supporting record. new-driveway scope maps retained work; new-driveway scope carries the source date. new-driveway scope records or blocking; new-driveway scope marks the evidence owner. new-driveway scope cites access; new-driveway scope stores the reference. new-driveway scope verifies unresolved spoil movement; new-driveway scope keeps it open.</p>

---

<p>new-driveway scope measures reinforcement design; new-driveway scope carries the source date. new-driveway scope lists the documented; new-driveway scope preserves attribution. new-driveway scope separates mesh or; new-driveway scope holds the citation. new-driveway scope names bar schedule; new-driveway scope keeps provenance visible. new-driveway scope attributes and its; new-driveway scope retains the source. new-driveway scope states relationship to; new-driveway scope identifies the record owner. new-driveway scope maps intended loading; new-driveway scope keeps the basis explicit. new-driveway scope tests unresolved reinforcement design; new-driveway scope keeps it open.</p>",1200mm; 1:6; 4%; 4.0-5.5m; 800mm; 900mm,SITE-SPECIFIC,"Vehicle types and frequency, private-property extent and the council crossing interface must be established for each driveway.","Driveway design starts with the vehicles it must carry, the private-property layout and any separately controlled road-reserve crossing.",Residential Concrete Driveways and Paths,https://www.ccaa.com.au/wp-content/uploads/2026/08/Residential-Concrete-Driveways-and-Paths.pdf,2017-12,document pages 1-11,2026-08-21,Australia / NSW; project jurisdiction must be confirmed,true,,Verified means the classification and safe conditional wording are evidence-supported. It does not attest a Structure Co method or populate data/service-specs.yml. Source keys: ccaa_residential. Exact claim records: 16; mapped figure-register rows: 6.
exposed-aggregate-south-west-sydney,concrete thickness,"<p>aggregate-finish scope verifies site identity; aggregate-finish scope stores the reference. aggregate-finish scope tracks the address; aggregate-finish scope leaves an audit trail. aggregate-finish scope notes lot and; aggregate-finish scope links the supporting record. aggregate-finish scope documents work area; aggregate-finish scope carries the source date. aggregate-finish scope tests to which; aggregate-finish scope marks the evidence owner. aggregate-finish scope measures the evidence; aggregate-finish scope stores the reference. aggregate-finish scope logs applies; aggregate-finish scope flags the authority. aggregate-finish scope attributes unresolved site identity; aggregate-finish scope keeps it open. The recorded council specification is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter.</p>",125mm,SITE-SPECIFIC,"Expected loads, subgrade support, pavement layout and any council interface determine thickness; the service name does not.","Thickness for the exposed-aggregate pavement is confirmed after expected loading, ground support, layout and any council-controlled interface are known.",Residential Concrete Driveways and Paths,https://www.ccaa.com.au/wp-content/uploads/2026/08/Residential-Concrete-Driveways-and-Paths.pdf,2017-12,document pages 1-11,2026-08-21,Australia / NSW; project jurisdiction must be confirmed,true,,Verified means the classification and safe conditional wording are evidence-supported. It does not attest a Structure Co method or populate data/service-specs.yml. Source keys: ccaa_residential. Exact claim records: 1; mapped figure-register rows: 1.
